Date,Depth,Data,QC
01-12-2016 00:00:00,0,22.0211,N
09-12-2016 00:00:00,0,21.4918,N
16-12-2016 00:00:00,0,22.0416,N
23-12-2016 00:00:00,0,23.1215,N
09-01-2017 00:00:00,0,22.8214,N
16-01-2017 00:00:00,0,23.3151,N
23-01-2017 00:00:00,0,21.9073,N
30-01-2017 00:00:00,0,22.5197,N
06-02-2017 00:00:00,0,22.2393,N
13-02-2017 00:00:00,0,21.8413,N
20-02-2017 00:00:00,0,23.4801,N
27-02-2017 00:00:00,0,23.5721,N
06-03-2017 00:00:00,0,24.6924,N
13-03-2017 00:00:00,0,22.5209,N
20-03-2017 00:00:00,0,20.3148,N
27-03-2017 00:00:00,0,19.9880,N
