Date,Depth,Data,QC
01-12-2017 00:00:00,0,1025.1685,N
08-12-2017 00:00:00,0,1025.0359,N
15-12-2017 00:00:00,0,1024.8596,N
22-12-2017 00:00:00,0,1024.8531,N
05-01-2018 00:00:00,0,1024.9178,N
15-01-2018 00:00:00,0,1025.2460,N
22-01-2018 00:00:00,0,1024.6539,N
29-01-2018 00:00:00,0,1025.2411,N
05-02-2018 00:00:00,0,1024.7829,N
12-02-2018 00:00:00,0,1025.0720,N
19-02-2018 00:00:00,0,1024.9005,N
26-02-2018 00:00:00,0,1025.1021,N
05-03-2018 00:00:00,0,1025.8141,N
12-03-2018 00:00:00,0,1025.6475,N
19-03-2018 00:00:00,0,1025.8426,N
26-03-2018 00:00:00,0,1025.7701,N
