Date,Depth,Data,QC
02-12-2013 00:00:00,0 - 1.3,1.9000,N
09-12-2013 00:00:00,0 - 1.3,2.6600,N
16-12-2013 00:00:00,0 - 1.3,0.7000,N
23-12-2013 00:00:00,0 - 1.3,0.8200,N
06-01-2014 00:00:00,0 - 1.3,1.0000,N
13-01-2014 00:00:00,0 - 1.3,0.5300,N
20-01-2014 00:00:00,0 - 1.3,1.0500,N
28-01-2014 00:00:00,0 - 1.3,0.7300,N
03-02-2014 00:00:00,0 - 1.3,0.8500,N
10-02-2014 00:00:00,0 - 1.3,1.1500,N
17-02-2014 00:00:00,0 - 1.3,0.8300,N
24-02-2014 00:00:00,0 - 1.3,0.4900,N
03-03-2014 00:00:00,0 - 1.3,0.6800,N
10-03-2014 00:00:00,0 - 1.3,0.5800,N
17-03-2014 00:00:00,0 - 1.3,0.7300,N
24-03-2014 00:00:00,0 - 1.3,0.5900,N
