Date,Depth,Data,QC
01-12-2015 00:00:00,0 - 1.3,0.0936,N
07-12-2015 00:00:00,0 - 1.3,0.1011,N
14-12-2015 00:00:00,0 - 1.3,0.0889,N
21-12-2015 00:00:00,0 - 1.3,0.1134,N
04-01-2016 00:00:00,0 - 1.3,0.1001,N
11-01-2016 00:00:00,0 - 1.3,0.0871,N
18-01-2016 00:00:00,0 - 1.3,0.1196,N
25-01-2016 00:00:00,0 - 1.3,0.1196,N
01-02-2016 00:00:00,0 - 1.3,0.1673,N
08-02-2016 00:00:00,0 - 1.3,0.1053,N
15-02-2016 00:00:00,0 - 1.3,0.1035,N
29-02-2016 00:00:00,0 - 1.3,0.1157,N
07-03-2016 00:00:00,0 - 1.3,0.0915,N
14-03-2016 00:00:00,0 - 1.3,0.1987,N
21-03-2016 00:00:00,0 - 1.3,0.0938,N
29-03-2016 00:00:00,0 - 1.3,0.0769,N
