Date,Depth,Data,QC
06-12-2010 00:00:00,0,8.3070,N
13-12-2010 00:00:00,0,8.2500,N
20-12-2010 00:00:00,0,8.1320,N
04-01-2011 00:00:00,0,8.1880,N
10-01-2011 00:00:00,0,8.2070,N
17-01-2011 00:00:00,0,8.2840,N
24-01-2011 00:00:00,0,8.3000,N
31-01-2011 00:00:00,0,8.3790,N
07-02-2011 00:00:00,0,8.1100,N
14-02-2011 00:00:00,0,8.0720,N
21-02-2011 00:00:00,0,8.1500,N
28-02-2011 00:00:00,0,8.1030,N
07-03-2011 00:00:00,0,8.1390,N
14-03-2011 00:00:00,0,8.2140,N
21-03-2011 00:00:00,0,8.1760,N
28-03-2011 00:00:00,0,8.1880,N
