Date,Depth,Data,QC
05-12-2001 00:00:00,0,35.5200,N
12-12-2001 00:00:00,0,35.6700,N
19-12-2001 00:00:00,0,35.9300,N
26-12-2001 00:00:00,0,35.9200,N
02-01-2002 00:00:00,0,35.8000,N
09-01-2002 00:00:00,0,36.1700,N
16-01-2002 00:00:00,0,36.3100,N
23-01-2002 00:00:00,0,36.2100,N
30-01-2002 00:00:00,0,36.4900,N
06-02-2002 00:00:00,0,36.4000,N
13-02-2002 00:00:00,0,36.3500,N
20-02-2002 00:00:00,0, NaN,N
27-02-2002 00:00:00,0,35.1600,N
06-03-2002 00:00:00,0,36.7400,N
13-03-2002 00:00:00,0,36.8800,N
20-03-2002 00:00:00,0,36.7300,N
27-03-2002 00:00:00,0,36.5700,N
