Date,Depth,Data,QC
05-12-2001 00:00:00,0,19.7400,N
12-12-2001 00:00:00,0,20.5500,N
19-12-2001 00:00:00,0,21.0200,N
26-12-2001 00:00:00,0,21.2700,N
02-01-2002 00:00:00,0,21.1500,N
09-01-2002 00:00:00,0,21.4400,N
16-01-2002 00:00:00,0,22.3600,N
23-01-2002 00:00:00,0,22.5200,N
30-01-2002 00:00:00,0,23.6200,N
06-02-2002 00:00:00,0,24.1000,N
13-02-2002 00:00:00,0,23.7700,N
20-02-2002 00:00:00,0, NaN,N
27-02-2002 00:00:00,0,22.3500,N
06-03-2002 00:00:00,0,21.9000,N
13-03-2002 00:00:00,0,21.9100,N
20-03-2002 00:00:00,0,22.0600,N
27-03-2002 00:00:00,0,21.6200,N
