Date,Depth,Data,QC
02-12-2013 00:00:00,9.9,50.0175,N
09-12-2013 00:00:00,9.9,49.9629,N
16-12-2013 00:00:00,9.9,51.3524,N
23-12-2013 00:00:00,9.9,51.6471,N
06-01-2014 00:00:00,9.9,52.1120,N
13-01-2014 00:00:00,9.9,53.5735,N
20-01-2014 00:00:00,9.9,53.8760,N
28-01-2014 00:00:00,9.9,53.7011,N
03-02-2014 00:00:00,9.9,53.6399,N
10-02-2014 00:00:00,9.9,53.5390,N
17-02-2014 00:00:00,9.9,54.0300,N
24-02-2014 00:00:00,9.9,54.6419,N
03-03-2014 00:00:00,9.9,54.7845,N
10-03-2014 00:00:00,9.9,53.3176,N
17-03-2014 00:00:00,9.9,52.4425,N
24-03-2014 00:00:00,9.9,52.8663,N
