Date,Depth,Data,QC
19-12-2001 00:00:00,9.9,7.1700,N
26-12-2001 00:00:00,9.9,7.7300,N
02-01-2002 00:00:00,9.9,7.7100,N
09-01-2002 00:00:00,9.9,7.4800,N
16-01-2002 00:00:00,9.9,7.4200,N
23-01-2002 00:00:00,9.9,7.0400,N
30-01-2002 00:00:00,9.9,5.7200,N
06-02-2002 00:00:00,9.9,6.8000,N
13-02-2002 00:00:00,9.9,7.3900,N
20-02-2002 00:00:00,9.9, NaN,N
27-02-2002 00:00:00,9.9,6.4200,N
06-03-2002 00:00:00,9.9,5.3800,N
13-03-2002 00:00:00,9.9, NaN,N
20-03-2002 00:00:00,9.9,7.4200,N
27-03-2002 00:00:00,9.9,7.3000,N
