Date,Depth,Data,QC
01-12-2017 00:00:00,0 - 9.9,3.9000,N
08-12-2017 00:00:00,0 - 9.9,3.0000,N
15-12-2017 00:00:00,0 - 9.9,3.4000,N
22-12-2017 00:00:00,0 - 9.9,3.7000,N
05-01-2018 00:00:00,0 - 9.9,3.1000,N
15-01-2018 00:00:00,0 - 9.9,3.3000,N
22-01-2018 00:00:00,0 - 9.9,4.5000,N
29-01-2018 00:00:00,0 - 9.9,3.2000,N
05-02-2018 00:00:00,0 - 9.9,2.8000,N
12-02-2018 00:00:00,0 - 9.9,4.0000,N
19-02-2018 00:00:00,0 - 9.9,3.2000,N
26-02-2018 00:00:00,0 - 9.9,3.8000,N
05-03-2018 00:00:00,0 - 9.9,3.5000,N
12-03-2018 00:00:00,0 - 9.9,3.5000,N
19-03-2018 00:00:00,0 - 9.9,3.5000,N
26-03-2018 00:00:00,0 - 9.9,2.8000,N
