Date,Depth,Data,QC
01-12-2008 00:00:00,0 - 9.9,0.2300,N
08-12-2008 00:00:00,0 - 9.9,0.2200,N
15-12-2008 00:00:00,0 - 9.9,0.2400,N
22-12-2008 00:00:00,0 - 9.9,0.2600,N
05-01-2009 00:00:00,0 - 9.9,0.2200,N
12-01-2009 00:00:00,0 - 9.9,0.2000,N
19-01-2009 00:00:00,0 - 9.9,0.1800,N
02-02-2009 00:00:00,0 - 9.9,0.1800,N
09-02-2009 00:00:00,0 - 9.9,0.1900,N
16-02-2009 00:00:00,0 - 9.9,0.1800,N
23-02-2009 00:00:00,0 - 9.9,0.1700,N
02-03-2009 00:00:00,0 - 9.9,0.1700,N
09-03-2009 00:00:00,0 - 9.9,0.1700,N
16-03-2009 00:00:00,0 - 9.9,0.1600,N
23-03-2009 00:00:00,0 - 9.9,0.1500,N
30-03-2009 00:00:00,0 - 9.9,0.1700,N
