Date,Depth,Data,QC
01-12-2015 00:00:00,0,0.7022,N
07-12-2015 00:00:00,0,0.8455,N
14-12-2015 00:00:00,0,0.6526,N
21-12-2015 00:00:00,0,0.8742,N
04-01-2016 00:00:00,0,0.4148,N
11-01-2016 00:00:00,0,0.5920,N
18-01-2016 00:00:00,0,0.4917,N
25-01-2016 00:00:00,0,0.5472,N
01-02-2016 00:00:00,0,0.4329,N
08-02-2016 00:00:00,0,0.5397,N
15-02-2016 00:00:00,0,0.4435,N
29-02-2016 00:00:00,0,0.7277,N
07-03-2016 00:00:00,0,0.5828,N
14-03-2016 00:00:00,0,0.6704,N
21-03-2016 00:00:00,0,0.4945,N
29-03-2016 00:00:00,0,0.4709,N
