Date,Depth,Data,QC
02-12-2019 00:00:00,0,1024.7863,N
09-12-2019 00:00:00,0,1024.3007,N
16-12-2019 00:00:00,0,1023.8711,N
23-12-2019 00:00:00,0,1024.2676,N
06-01-2020 00:00:00,0,1024.6220,N
13-01-2020 00:00:00,0,1024.8421,N
20-01-2020 00:00:00,0,1024.8098,N
28-01-2020 00:00:00,0,1024.4060,N
03-02-2020 00:00:00,0,1025.0970,N
10-02-2020 00:00:00,0,1024.9053,N
17-02-2020 00:00:00,0,1024.8849,N
24-02-2020 00:00:00,0,1024.9375,N
02-03-2020 00:00:00,0,1025.0983,N
09-03-2020 00:00:00,0,1024.8107,N
16-03-2020 00:00:00,0,1024.5923,N
30-03-2020 00:00:00,0,1025.2234,N
