Date,Depth,Data,QC
04-12-2014 00:00:00,9.9,7.9234,N
08-12-2014 00:00:00,9.9,9.1550,N
15-12-2014 00:00:00,9.9,6.0458,N
22-12-2014 00:00:00,9.9,4.5692,N
05-01-2015 00:00:00,9.9,4.5020,N
12-01-2015 00:00:00,9.9,3.3200,N
19-01-2015 00:00:00,9.9,6.4774,N
27-01-2015 00:00:00,9.9,2.9016,N
02-02-2015 00:00:00,9.9,8.2738,N
09-02-2015 00:00:00,9.9,2.7530,N
16-02-2015 00:00:00,9.9, NaN,N
23-02-2015 00:00:00,9.9,0.8017,N
02-03-2015 00:00:00,9.9,4.4171,N
09-03-2015 00:00:00,9.9,4.4337,N
16-03-2015 00:00:00,9.9,4.9243,N
23-03-2015 00:00:00,9.9,4.5876,N
