Date,Depth,Data,QC
02-12-2013 00:00:00,0 - 9.9,3.1200,N
09-12-2013 00:00:00,0 - 9.9,4.6600,N
16-12-2013 00:00:00,0 - 9.9,3.0900,N
23-12-2013 00:00:00,0 - 9.9,3.0600,N
06-01-2014 00:00:00,0 - 9.9,3.0500,N
13-01-2014 00:00:00,0 - 9.9,3.1800,N
20-01-2014 00:00:00,0 - 9.9,2.7700,N
28-01-2014 00:00:00,0 - 9.9,3.1000,N
03-02-2014 00:00:00,0 - 9.9,1.9100,N
10-02-2014 00:00:00,0 - 9.9,2.6100,N
17-02-2014 00:00:00,0 - 9.9,2.8200,N
24-02-2014 00:00:00,0 - 9.9,4.6700,N
03-03-2014 00:00:00,0 - 9.9,3.8800,N
10-03-2014 00:00:00,0 - 9.9,2.9000,N
17-03-2014 00:00:00,0 - 9.9,3.8900,N
24-03-2014 00:00:00,0 - 9.9,3.7700,N
