Date,Depth,Data,QC
03-12-2007 00:00:00,0 - 9.9,0.1437,N
10-12-2007 00:00:00,0 - 9.9,0.1189,N
17-12-2007 00:00:00,0 - 9.9,0.1205,N
07-01-2008 00:00:00,0 - 9.9,0.1437,N
14-01-2008 00:00:00,0 - 9.9,0.1336,N
21-01-2008 00:00:00,0 - 9.9,0.1228,N
28-01-2008 00:00:00,0 - 9.9,0.1274,N
04-02-2008 00:00:00,0 - 9.9,0.1899,N
11-02-2008 00:00:00,0 - 9.9,0.1189,N
18-02-2008 00:00:00,0 - 9.9,0.1417,N
25-02-2008 00:00:00,0 - 9.9,0.1552,N
03-03-2008 00:00:00,0 - 9.9,0.1767,N
10-03-2008 00:00:00,0 - 9.9,0.1858,N
17-03-2008 00:00:00,0 - 9.9, NaN,N
31-03-2008 00:00:00,0 - 9.9, NaN,N
