Date,Depth,Data,QC
05-12-2011 00:00:00,9.9,8.0780,N
12-12-2011 00:00:00,9.9,7.9630,N
19-12-2011 00:00:00,9.9,7.9510,N
04-01-2012 00:00:00,9.9,8.3530,N
09-01-2012 00:00:00,9.9,8.3780,N
16-01-2012 00:00:00,9.9,8.3120,N
23-01-2012 00:00:00,9.9,8.2590,N
30-01-2012 00:00:00,9.9,8.3210,N
06-02-2012 00:00:00,9.9,8.3020,N
13-02-2012 00:00:00,9.9,8.3080,N
20-02-2012 00:00:00,9.9,8.3240,N
27-02-2012 00:00:00,9.9,8.3590,N
05-03-2012 00:00:00,9.9,8.2970,N
12-03-2012 00:00:00,9.9,8.2350,N
20-03-2012 00:00:00,9.9,8.2810,N
26-03-2012 00:00:00,9.9,8.2720,N
