Date,Depth,Data,QC
01-12-2015 00:00:00,0,8.2290,N
07-12-2015 00:00:00,0,8.4020,N
14-12-2015 00:00:00,0,8.1030,N
21-12-2015 00:00:00,0,8.1690,N
04-01-2016 00:00:00,0,8.3070,N
11-01-2016 00:00:00,0,8.2110,N
18-01-2016 00:00:00,0,8.1950,N
25-01-2016 00:00:00,0,8.2100,N
01-02-2016 00:00:00,0,8.2280,N
08-02-2016 00:00:00,0,8.2250,N
15-02-2016 00:00:00,0,8.2940,N
29-02-2016 00:00:00,0,8.4580,N
07-03-2016 00:00:00,0,8.3180,N
14-03-2016 00:00:00,0,8.3060,N
21-03-2016 00:00:00,0,8.3280,N
29-03-2016 00:00:00,0,8.2290,N
