Date,Depth,Data,QC
05-12-2005 00:00:00,3.5,35.8200,N
12-12-2005 00:00:00,3.5,35.9800,N
19-12-2005 00:00:00,3.5,35.6900,N
02-01-2006 00:00:00,3.5,36.5900,N
09-01-2006 00:00:00,3.5,36.5400,N
16-01-2006 00:00:00,3.5,36.4400,N
23-01-2006 00:00:00,3.5,36.4300,N
30-01-2006 00:00:00,3.5,36.4500,N
06-02-2006 00:00:00,3.5,36.3300,N
13-02-2006 00:00:00,3.5,36.4700,N
20-02-2006 00:00:00,3.5,36.9100,N
27-02-2006 00:00:00,3.5,37.1600,N
06-03-2006 00:00:00,3.5,37.0000,N
13-03-2006 00:00:00,3.5,36.9200,N
20-03-2006 00:00:00,3.5,37.1000,N
27-03-2006 00:00:00,3.5,36.9500,N
