Date,Depth,Data,QC
05-12-2011 00:00:00,3.5,21.8929,N
12-12-2011 00:00:00,3.5,21.6259,N
19-12-2011 00:00:00,3.5,22.6680,N
04-01-2012 00:00:00,3.5,23.5211,N
09-01-2012 00:00:00,3.5,22.5525,N
16-01-2012 00:00:00,3.5,24.8787,N
23-01-2012 00:00:00,3.5,24.9409,N
30-01-2012 00:00:00,3.5,24.4036,N
06-02-2012 00:00:00,3.5,22.8298,N
13-02-2012 00:00:00,3.5,24.1314,N
20-02-2012 00:00:00,3.5,24.2885,N
27-02-2012 00:00:00,3.5,23.7115,N
05-03-2012 00:00:00,3.5,23.5463,N
12-03-2012 00:00:00,3.5,24.4636,N
20-03-2012 00:00:00,3.5,22.4302,N
26-03-2012 00:00:00,3.5,22.0073,N
