Date,Depth,Data,QC
06-12-2010 00:00:00,0,8.2630,N
13-12-2010 00:00:00,0,8.2890,N
20-12-2010 00:00:00,0,8.2390,N
04-01-2011 00:00:00,0,8.2280,N
10-01-2011 00:00:00,0,8.2360,N
17-01-2011 00:00:00,0,8.3200,N
24-01-2011 00:00:00,0,8.2930,N
31-01-2011 00:00:00,0,8.4570,N
07-02-2011 00:00:00,0,8.0300,N
14-02-2011 00:00:00,0,8.0820,N
21-02-2011 00:00:00,0,8.1300,N
28-02-2011 00:00:00,0,8.1480,N
07-03-2011 00:00:00,0,8.1940,N
14-03-2011 00:00:00,0,8.2230,N
21-03-2011 00:00:00,0,8.2330,N
28-03-2011 00:00:00,0,8.3070,N
