Date,Depth,Data,QC
05-12-2005 00:00:00,0 - 17.3,0.0030,N
12-12-2005 00:00:00,0 - 17.3,0.0030,N
19-12-2005 00:00:00,0 - 17.3,0.0040,N
02-01-2006 00:00:00,0 - 17.3,0.0030,N
09-01-2006 00:00:00,0 - 17.3,0.0030,N
16-01-2006 00:00:00,0 - 17.3,0.0030,N
23-01-2006 00:00:00,0 - 17.3,0.0030,N
30-01-2006 00:00:00,0 - 17.3,0.0030,N
06-02-2006 00:00:00,0 - 17.3,0.0040,N
13-02-2006 00:00:00,0 - 17.3,0.0030,N
20-02-2006 00:00:00,0 - 17.3,0.0050,N
27-02-2006 00:00:00,0 - 17.3,0.0030,N
06-03-2006 00:00:00,0 - 17.3,0.0030,N
13-03-2006 00:00:00,0 - 17.3,0.0040,N
20-03-2006 00:00:00,0 - 17.3,0.0030,N
27-03-2006 00:00:00,0 - 17.3,0.0030,N
