Date,Depth,Data,QC
01-12-2008 00:00:00,17.3,6.7800,N
08-12-2008 00:00:00,17.3,6.6700,N
15-12-2008 00:00:00,17.3,6.4300,N
22-12-2008 00:00:00,17.3,6.4900,N
05-01-2009 00:00:00,17.3,6.3700,N
12-01-2009 00:00:00,17.3,6.4100,N
19-01-2009 00:00:00,17.3,6.3100,N
02-02-2009 00:00:00,17.3,6.0100,N
09-02-2009 00:00:00,17.3,6.4000,N
16-02-2009 00:00:00,17.3,5.4600,N
23-02-2009 00:00:00,17.3,6.6400,N
02-03-2009 00:00:00,17.3,6.4700,N
09-03-2009 00:00:00,17.3,6.6800,N
16-03-2009 00:00:00,17.3,6.4600,N
23-03-2009 00:00:00,17.3,6.9000,N
30-03-2009 00:00:00,17.3,6.5800,N
