Date,Depth,Data,QC
06-12-2004 00:00:00,17.3,20.9800,N
13-12-2004 00:00:00,17.3,22.0500,N
20-12-2004 00:00:00,17.3,22.9600,N
27-12-2004 00:00:00,17.3,22.6700,N
03-01-2005 00:00:00,17.3,22.5700,N
10-01-2005 00:00:00,17.3,23.1500,N
17-01-2005 00:00:00,17.3,22.3700,N
24-01-2005 00:00:00,17.3,23.0400,N
31-01-2005 00:00:00,17.3,23.4100,N
07-02-2005 00:00:00,17.3,23.0300,N
14-02-2005 00:00:00,17.3,23.2200,N
21-02-2005 00:00:00,17.3,22.9800,N
28-02-2005 00:00:00,17.3,22.7700,N
07-03-2005 00:00:00,17.3,22.4200,N
14-03-2005 00:00:00,17.3,23.1400,N
21-03-2005 00:00:00,17.3,22.7300,N
