Date,Depth,Data,QC
01-12-2008 00:00:00,2.4,7.0500,N
08-12-2008 00:00:00,2.4,6.9900,N
15-12-2008 00:00:00,2.4,6.2200,N
22-12-2008 00:00:00,2.4,6.2500,N
05-01-2009 00:00:00,2.4,6.9400,N
12-01-2009 00:00:00,2.4,6.9000,N
19-01-2009 00:00:00,2.4,6.2000,N
02-02-2009 00:00:00,2.4,6.3300,N
09-02-2009 00:00:00,2.4,7.4400,N
16-02-2009 00:00:00,2.4,6.9000,N
23-02-2009 00:00:00,2.4,6.5100,N
02-03-2009 00:00:00,2.4,6.7000,N
09-03-2009 00:00:00,2.4,7.5700,N
16-03-2009 00:00:00,2.4,6.1000,N
23-03-2009 00:00:00,2.4,6.2600,N
30-03-2009 00:00:00,2.4,6.7500,N
