Date,Depth,Data,QC
06-12-2010 00:00:00,2.4,36.4003,N
13-12-2010 00:00:00,2.4,36.5769,N
20-12-2010 00:00:00,2.4,36.5207,N
04-01-2011 00:00:00,2.4,36.6151,N
10-01-2011 00:00:00,2.4,36.4655,N
17-01-2011 00:00:00,2.4,36.8426,N
24-01-2011 00:00:00,2.4,36.6653,N
31-01-2011 00:00:00,2.4,36.5572,N
07-02-2011 00:00:00,2.4,36.6597,N
14-02-2011 00:00:00,2.4,36.6673,N
21-02-2011 00:00:00,2.4,36.6193,N
28-02-2011 00:00:00,2.4,36.5732,N
07-03-2011 00:00:00,2.4,36.6100,N
14-03-2011 00:00:00,2.4,36.5693,N
21-03-2011 00:00:00,2.4,36.5206,N
28-03-2011 00:00:00,2.4,36.2361,N
