Date,Depth,Data,QC
04-12-2006 00:00:00,0 - 2.4, NaN,N
11-12-2006 00:00:00,0 - 2.4, NaN,N
18-12-2006 00:00:00,0 - 2.4, NaN,N
08-01-2007 00:00:00,0 - 2.4, NaN,N
15-01-2007 00:00:00,0 - 2.4, NaN,N
22-01-2007 00:00:00,0 - 2.4, NaN,N
29-01-2007 00:00:00,0 - 2.4, NaN,N
05-02-2007 00:00:00,0 - 2.4, NaN,N
12-02-2007 00:00:00,0 - 2.4, NaN,N
19-02-2007 00:00:00,0 - 2.4, NaN,N
26-02-2007 00:00:00,0 - 2.4, NaN,N
05-03-2007 00:00:00,0 - 2.4, NaN,N
12-03-2007 00:00:00,0 - 2.4, NaN,N
19-03-2007 00:00:00,0 - 2.4, NaN,N
26-03-2007 00:00:00,0 - 2.4, NaN,N
