Date,Depth,Data,QC
06-12-2001 00:00:00,0,19.6800,N
12-12-2001 00:00:00,0,19.9100,N
20-12-2001 00:00:00,0,20.7700,N
27-12-2001 00:00:00,0,20.5900,N
02-01-2002 00:00:00,0,21.8300,N
11-01-2002 00:00:00,0,20.9800,N
16-01-2002 00:00:00,0,22.7300,N
23-01-2002 00:00:00,0,23.6100,N
30-01-2002 00:00:00,0,23.4800,N
06-02-2002 00:00:00,0,24.3900,N
13-02-2002 00:00:00,0,22.9400,N
20-02-2002 00:00:00,0, NaN,N
27-02-2002 00:00:00,0,21.7700,N
06-03-2002 00:00:00,0,21.2500,N
13-03-2002 00:00:00,0,21.9200,N
20-03-2002 00:00:00,0,21.8200,N
27-03-2002 00:00:00,0,20.7100,N
