Date,Depth,Data,QC
06-12-2001 00:00:00,0 - 2.4,0.0250,N
12-12-2001 00:00:00,0 - 2.4,0.0180,N
20-12-2001 00:00:00,0 - 2.4,0.0180,N
27-12-2001 00:00:00,0 - 2.4,0.0180,N
02-01-2002 00:00:00,0 - 2.4,0.0160,N
11-01-2002 00:00:00,0 - 2.4,0.0120,N
16-01-2002 00:00:00,0 - 2.4,0.0130,N
23-01-2002 00:00:00,0 - 2.4,0.0160,N
30-01-2002 00:00:00,0 - 2.4,0.0160,N
06-02-2002 00:00:00,0 - 2.4,0.0160,N
13-02-2002 00:00:00,0 - 2.4,0.0150,N
20-02-2002 00:00:00,0 - 2.4,0.0110,N
27-02-2002 00:00:00,0 - 2.4,0.0100,N
06-03-2002 00:00:00,0 - 2.4,0.0150,N
13-03-2002 00:00:00,0 - 2.4,0.0140,N
20-03-2002 00:00:00,0 - 2.4,0.0150,N
27-03-2002 00:00:00,0 - 2.4,0.0160,N
