Date,Depth,Data,QC
03-12-2018 00:00:00,2.4,0.5596,N
10-12-2018 00:00:00,2.4,0.0088,N
17-12-2018 00:00:00,2.4,0.5198,N
24-12-2018 00:00:00,2.4,0.7869,N
07-01-2019 00:00:00,2.4,0.4555,N
14-01-2019 00:00:00,2.4,0.5290,N
21-01-2019 00:00:00,2.4,0.5897,N
29-01-2019 00:00:00,2.4,0.4290,N
04-02-2019 00:00:00,2.4,0.3944,N
11-02-2019 00:00:00,2.4,0.6233,N
18-02-2019 00:00:00,2.4,0.7407,N
25-02-2019 00:00:00,2.4,0.8151,N
04-03-2019 00:00:00,2.4,0.7280,N
11-03-2019 00:00:00,2.4,0.7727,N
18-03-2019 00:00:00,2.4,0.8067,N
25-03-2019 00:00:00,2.4,0.7644,N
