Date,Depth,Data,QC
05-12-2011 00:00:00,0,0.1997,N
12-12-2011 00:00:00,0,0.3657,N
19-12-2011 00:00:00,0,0.3935,N
04-01-2012 00:00:00,0,0.1108,N
09-01-2012 00:00:00,0,0.1030,N
20-01-2012 00:00:00,0, NaN,N
23-01-2012 00:00:00,0,0.1689,N
30-01-2012 00:00:00,0,0.3091,N
06-02-2012 00:00:00,0,0.3122,N
13-02-2012 00:00:00,0,0.3432,N
20-02-2012 00:00:00,0,0.2136,N
27-02-2012 00:00:00,0,0.3279,N
05-03-2012 00:00:00,0,0.1904,N
12-03-2012 00:00:00,0,0.1943,N
20-03-2012 00:00:00,0,0.4519,N
26-03-2012 00:00:00,0,0.4069,N
