Date,Depth,Data,QC
02-12-2019 00:00:00,0 - 2.4,0.0908,N
09-12-2019 00:00:00,0 - 2.4,0.0798,N
16-12-2019 00:00:00,0 - 2.4,0.0760,N
23-12-2019 00:00:00,0 - 2.4,0.0994,N
06-01-2020 00:00:00,0 - 2.4,0.0734,N
13-01-2020 00:00:00,0 - 2.4,0.0784,N
20-01-2020 00:00:00,0 - 2.4,0.0677,N
28-01-2020 00:00:00,0 - 2.4,0.0777,N
03-02-2020 00:00:00,0 - 2.4,0.0756,N
10-02-2020 00:00:00,0 - 2.4,0.0913,N
17-02-2020 00:00:00,0 - 2.4,0.0765,N
24-02-2020 00:00:00,0 - 2.4,0.0873,N
02-03-2020 00:00:00,0 - 2.4,0.0796,N
09-03-2020 00:00:00,0 - 2.4,0.0724,N
16-03-2020 00:00:00,0 - 2.4,0.0846,N
30-03-2020 00:00:00,0 - 2.4,0.1063,N
