Date,Depth,Data,QC
04-01-2000 13:47:00,0 - 0.5,6.800000,Good
04-01-2000 13:47:01,2.5,130.000000,Good
11-01-2000 13:05:01,3,47.000000,Good
18-01-2000 13:08:00,0 - 0.5,5.800000,Good
18-01-2000 13:08:01,3,14.000000,Good
01-02-2000 12:40:00,0 - 0.5,7.200000,Good
08-02-2000 12:30:00,0 - 0.5,5.400000,Good
15-02-2000 12:01:00,0 - 0.5,1.300000,Good
15-02-2000 12:01:01,2.5,3.100000,Good
22-02-2000 12:46:00,0 - 0.5,1.000000,Good
22-02-2000 12:46:01,3.5,9.700000,Good
29-02-2000 12:10:00,0 - 0.5,2.600000,Good
29-02-2000 12:10:01,3.5,6.400000,Good
14-03-2000 11:45:00,0 - 0.5,0.800000,Good
14-03-2000 11:45:01,3,2.300000,Good
21-03-2000 11:55:01,2.5,18.000000,Good
28-03-2000 11:23:00,0 - 0.5,0.700000,Good
30-05-2000 11:30:01,2.5,0.800000,Good
25-07-2000 10:23:01,3,2.200000,Good
29-08-2000 13:50:01,2,2.400000,Good
10-10-2000 10:00:00,0 - 0.5,0.500000,Good
21-11-2000 11:27:00,0 - 0.5,0.900000,Good
28-11-2000 11:30:00,0 - 0.5,3.000000,Good
19-12-2000 12:08:01,2.5,3.100000,Good
28-12-2000 12:35:01,3.5,4.500000,Good
03-01-2001 12:47:01,3,14.000000,Good
09-01-2001 11:30:01,3.5,3.000000,Good
16-01-2001 11:08:01,3,53.000000,Good
06-02-2001 11:29:01,3,13.000000,Good
13-02-2001 13:45:01,0 - 0.5,0.900000,Good
28-02-2001 10:40:00,0 - 0.5,2.500000,Good
06-03-2001 10:54:01,2.5,8.200000,Good
13-03-2001 12:35:00,0 - 0.5,7.400000,Good
13-03-2001 12:35:01,2,2.300000,Good
19-03-2001 11:21:00,0 - 0.5,3.300000,Good
03-04-2001 10:35:00,0 - 0.5,1.100000,Good
03-04-2001 10:35:01,3.5,0.700000,Good
18-04-2001 11:00:00,4,0.600000,Good
24-04-2001 10:19:00,0 - 0.5,4.900000,Good
24-04-2001 10:19:01,2.5,0.500000,Good
13-11-2001 13:40:00,0 - 0.5,1.000000,Good
13-11-2001 13:40:01,3,0.900000,Good
20-11-2001 14:15:00,0 - 0.5,1.100000,Good
02-01-2002 14:21:00,0 - 0.5,0.500000,Good
02-01-2002 14:21:01,4,1.900000,Good
08-01-2002 12:46:01,4.5,2.800000,Good
15-01-2002 12:52:00,0 - 0.5,1.300000,Good
15-01-2002 12:52:01,4,30.000000,Good
22-01-2002 13:32:01,4,14.000000,Good
29-01-2002 14:52:00,0 - 0.5,6.700000,Good
29-01-2002 14:52:01,4.5,23.000000,Good
05-02-2002 14:10:02,4,14.000000,Good
12-02-2002 14:11:01,4,21.000000,Good
19-02-2002 14:32:00,0 - 0.5,77.000000,Good
19-02-2002 14:32:01,3,0.800000,Good
26-02-2002 12:30:01,4,10.000000,Good
05-03-2002 14:13:00,0 - 0.5,0.900000,Good
05-03-2002 14:13:01,4,26.000000,Good
12-03-2002 14:10:01,3.5,3.300000,Good
19-03-2002 14:59:01,4,22.000000,Good
26-03-2002 14:25:00,0 - 0.5,2.300000,Good
26-03-2002 14:25:01,4.5,17.000000,Good
04-04-2002 15:15:00,0 - 0.5,2.400000,Good
04-04-2002 15:15:01,4,0.500000,Good
09-04-2002 14:35:00,0 - 0.5,5.300000,Good
23-04-2002 13:00:00,0 - 0.5,0.700000,Good
30-04-2002 12:40:00,0 - 0.5,5.400000,Good
30-04-2002 12:40:01,4,5.600000,Good
21-05-2002 11:05:01,4,0.800000,Good
19-11-2002 12:21:00,0 - 0.5,1.000000,Good
10-12-2002 13:25:02,4.5,1.100000,Good
17-12-2002 12:30:01,4.5,2.300000,Good
24-12-2002 12:34:02,4.5,3.600000,Good
02-01-2003 11:30:01,4,9.700000,Good
07-01-2003 11:26:01,4.5,5.800000,Good
14-01-2003 11:40:00,3,8.800000,Good
21-01-2003 11:54:01,4,9.700000,Good
28-01-2003 12:00:01,4,9.300000,Good
04-02-2003 11:35:01,4,7.400000,Good
11-02-2003 11:25:01,4,6.700000,Good
18-02-2003 11:20:01,4,7.700000,Good
25-02-2003 11:00:01,4,4.900000,Good
04-03-2003 11:44:01,4,3.200000,Good
12-03-2003 11:35:01,4,7.600000,Good
18-03-2003 12:07:00,0 - 0.5,0.500000,Good
18-03-2003 12:07:01,4,4.400000,Good
25-03-2003 12:34:02,3.5,4.300000,Good
08-04-2003 11:30:00,0 - 0.5,0.600000,Good
22-04-2003 11:20:00,0 - 0.5,1.600000,Good
29-04-2003 11:00:00,0 - 0.5,1.700000,Good
29-04-2003 11:00:01,4.5,1.800000,Good
03-06-2003 10:58:00,0 - 0.5,0.500000,Good
02-12-2003 01:01:00,0 - 0.5,0.500000,Good
06-01-2004 11:00:02,3,7.100000,Good
13-01-2004 11:05:02,4,5.800000,Good
20-01-2004 12:30:02,3,3.500000,Good
27-01-2004 12:10:02,4.5,13.000000,Good
03-02-2004 12:52:02,4.5,10.000000,Good
