Date,Depth,Data,QC
04-01-2000 08:28:27,-0.1500,7.240000,Good
04-01-2000 08:29:11,-0.5500,7.230000,Good
04-01-2000 08:30:00,-1.0300,7.300000,Good
04-01-2000 08:30:19,-1.1000,7.300000,Good
04-01-2000 08:30:46,-1.4400,7.310000,Good
11-01-2000 08:34:25,-0.1700,7.060000,Good
11-01-2000 08:34:54,-0.5500,7.030000,Good
11-01-2000 08:35:29,-1.0800,7.200000,Good
11-01-2000 08:36:07,-1.5100,7.320000,Good
11-01-2000 08:36:46,-1.6300,7.380000,Good
18-01-2000 08:50:44,-0.1300,7.430000,Good
18-01-2000 08:51:26,-0.4900,7.220000,Good
18-01-2000 08:52:05,-0.4800,7.260000,Good
18-01-2000 08:52:33,-0.9500,7.160000,Good
18-01-2000 08:53:00,-0.9300,7.150000,Good
18-01-2000 08:53:35,-1.3200,7.120000,Good
25-01-2000 08:35:55,-0.2300,7.460000,Good
25-01-2000 08:36:20,-0.5600,7.260000,Good
25-01-2000 08:37:05,-1.0500,7.240000,Good
25-01-2000 08:37:57,-1.5600,7.310000,Good
25-01-2000 08:38:19,-1.6700,7.330000,Good
15-02-2000 08:37:52,0.0000,7.420000,Good
15-02-2000 08:38:12,-0.5000,7.370000,Good
15-02-2000 08:38:33,-1.0000,7.300000,Good
15-02-2000 08:38:52,-1.5000,7.270000,Good
22-02-2000 08:38:56,-0.2000,7.090000,Good
22-02-2000 08:39:21,-0.6000,7.030000,Good
22-02-2000 08:39:48,-1.0000,7.050000,Good
22-02-2000 08:40:13,-1.6000,7.070000,Good
22-02-2000 08:40:35,-1.9000,7.070000,Good
29-02-2000 09:06:57,-0.2000,7.210000,Good
29-02-2000 09:07:18,-0.4000,7.120000,Good
29-02-2000 09:07:44,-1.1000,7.060000,Good
29-02-2000 09:08:03,-1.4000,7.000000,Good
07-03-2000 08:49:55,0.0000,7.070000,Good
07-03-2000 08:50:21,-0.5000,7.110000,Good
07-03-2000 08:50:40,-1.0000,7.110000,Good
07-03-2000 08:51:11,-1.5000,7.090000,Good
07-03-2000 08:51:36,-2.0000,7.100000,Good
14-03-2000 08:44:52,-0.1600,7.440000,Good
14-03-2000 08:45:21,-0.5200,7.190000,Good
14-03-2000 08:45:48,-0.9700,7.120000,Good
14-03-2000 08:46:06,-0.9900,7.110000,Good
