Date,Depth,Data,QC
04-01-2000 08:05:00,0 - 0.5,3.100000,Good
11-01-2000 08:00:00,0 - 0.5,1.700000,Good
11-01-2000 08:00:01,2.5,1.000000,Good
18-01-2000 08:18:00,0 - 0.5,4.200000,Good
18-01-2000 08:18:01,2,1.000000,Good
25-01-2000 08:05:00,0 - 0.5,2.500000,Good
01-02-2000 08:15:00,0 - 0.5,27.000000,Good
01-02-2000 08:15:01,2.5,3.000000,Good
08-02-2000 07:45:00,0 - 0.5,3.800000,Good
08-02-2000 07:45:01,2.5,2.300000,Good
15-02-2000 08:00:00,0 - 0.5,2.300000,Good
16-02-2000 11:45:00,0 - 1,9.600000,Fair
18-02-2000 14:05:00,0 - 1,15.000000,Fair
21-02-2000 12:20:00,0 - 1,27.000000,Fair
22-02-2000 08:05:00,0 - 0.5,6.900000,Good
29-02-2000 08:35:00,0 - 0.5,14.000000,Good
29-02-2000 08:35:01,2.5,3.200000,Good
07-03-2000 08:15:00,0 - 0.5,3.600000,Good
07-03-2000 08:15:01,2.5,7.900000,Good
14-03-2000 08:15:00,0 - 0.5,5.400000,Good
21-03-2000 08:19:00,0 - 0.5,3.100000,Good
21-03-2000 08:19:01,2.7,1.100000,Good
28-03-2000 08:00:00,0 - 0.5,1.100000,Good
11-04-2000 07:50:00,0 - 0.5,0.600000,Good
25-04-2000 08:26:00,0 - 0.5,1.100000,Good
02-05-2000 08:24:00,0 - 0.5,9.000000,Good
02-05-2000 08:24:01,2.5,0.700000,Good
09-05-2000 08:05:00,0 - 0.5,1.900000,Good
16-05-2000 08:15:00,0 - 0.5,8.800000,Good
16-05-2000 08:15:01,2.5,1.100000,Good
23-05-2000 08:10:00,0 - 0.5,3.000000,Good
23-05-2000 08:10:01,3,0.500000,Good
30-05-2000 08:20:00,0 - 0.5,0.900000,Good
30-05-2000 08:20:01,2.5,0.500000,Good
13-06-2000 08:03:00,0 - 0.5,0.700000,Good
27-06-2000 08:03:00,0 - 0.5,1.600000,Good
04-07-2000 08:15:00,0 - 0.5,1.100000,Good
11-07-2000 08:14:00,0 - 0.5,0.800000,Good
18-07-2000 07:51:01,3,1.300000,Good
25-07-2000 09:51:00,0 - 0.5,0.600000,Good
01-08-2000 08:15:00,0 - 0.5,0.900000,Good
08-08-2000 08:16:00,0 - 0.5,0.700000,Good
15-08-2000 08:16:00,0 - 0.5,10.000000,Good
15-08-2000 08:16:01,2,1.100000,Good
22-08-2000 08:26:00,0 - 0.5,22.000000,Good
22-08-2000 08:26:01,2.5,1.200000,Good
29-08-2000 11:30:00,0 - 0.5,19.000000,Good
29-08-2000 11:30:01,3,1.200000,Good
05-09-2000 08:15:00,0 - 0.5,1.700000,Good
05-09-2000 08:15:01,2.5,0.500000,Good
12-09-2000 08:14:00,0 - 0.5,16.000000,Good
12-09-2000 08:14:01,2.5,0.800000,Good
19-09-2000 07:52:00,0 - 0.5,12.000000,Good
26-09-2000 08:05:00,0 - 0.5,10.000000,Good
03-10-2000 08:07:00,0 - 0.5,12.000000,Good
03-10-2000 08:07:01,2.2,7.900000,Good
10-10-2000 07:30:00,0 - 0.5,4.400000,Good
10-10-2000 07:30:01,2.5,1.500000,Good
17-10-2000 08:02:00,0 - 0.5,2.200000,Good
17-10-2000 08:02:01,2.5,2.900000,Good
24-10-2000 08:04:00,0 - 0.5,1.500000,Good
24-10-2000 08:04:01,2.5,2.900000,Good
31-10-2000 08:15:00,0 - 0.5,1.400000,Good
31-10-2000 08:15:01,2.5,0.500000,Good
07-11-2000 08:20:00,0 - 0.5,1.100000,Good
07-11-2000 08:20:01,2.5,2.100000,Good
14-11-2000 07:45:00,0 - 0.5,3.900000,Good
14-11-2000 07:45:01,2,3.000000,Good
21-11-2000 07:55:00,0 - 0.5,1.300000,Good
21-11-2000 07:55:01,2.5,3.600000,Good
28-11-2000 08:05:00,0 - 0.5,2.900000,Good
