Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CANEST
Data File Name,6163132_Chlorophyll_a_DATA.csv
Location,data-warehouse/csv/dwer/canest
Station Status,Inactive
Lat,-32.026048697
Long,115.937827906
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6163132
Site Description,6163132
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00014
Data Classification,WQ Grab
Sampling Rate (min),124406.7450
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a (µg/l)
QC,String
