Date,Depth,Data,QC
30-01-2013 07:58:00,0,1.200000,Good
30-01-2013 07:58:01,0 - 4.2,1.500000,Good
05-02-2013 08:04:01,0 - 4,1.000000,Good
12-02-2013 08:01:00,0,0.700000,Good
12-02-2013 08:01:01,0 - 4.5,1.100000,Good
19-02-2013 07:53:00,0 - 4,0.900000,Good
26-02-2013 07:45:01,0,0.800000,Good
26-02-2013 07:45:02,0 - 4.2,0.700000,Good
06-03-2013 07:52:01,0 - 4.5,1.500000,Good
12-03-2013 08:04:00,0,0.800000,Good
12-03-2013 08:04:01,0 - 4.3,0.800000,Good
19-03-2013 07:43:01,0 - 4.3,2.800000,Good
26-03-2013 08:11:01,0,0.900000,Good
26-03-2013 08:11:02,0 - 4.5,1.100000,Good
03-04-2013 07:52:01,0 - 4.5,1.000000,Good
09-04-2013 08:12:01,0,1.200000,Good
09-04-2013 08:12:02,0 - 2.5,1.200000,Good
16-04-2013 08:05:01,0 - 4.5,1.900000,Good
23-04-2013 08:06:00,0,1.300000,Good
23-04-2013 08:06:01,0 - 2.5,0.700000,Good
30-04-2013 08:00:00,0 - 4.5,1.500000,Good
07-05-2013 00:00:00,0 - 4.5,0.900000,Good
07-05-2013 07:58:00,0,0.900000,Good
14-05-2013 07:44:00,0 - 4.2,3.800000,Good
21-05-2013 07:51:00,0 - 4.5,2.100000,Good
21-05-2013 07:51:01,0,4.000000,Good
28-05-2013 07:55:00,0 - 4.5,1.200000,Good
05-06-2013 07:58:00,0,0.700000,Good
05-06-2013 07:58:01,0 - 5,0.700000,Good
11-06-2013 08:30:00,0 - 4.5,1.000000,Good
18-06-2013 08:03:00,0,0.900000,Good
18-06-2013 08:03:01,0 - 5.3,0.700000,Good
25-06-2013 07:51:00,0 - 5,0.700000,Good
02-07-2013 07:44:01,0,0.700000,Good
02-07-2013 07:44:02,0 - 4.5,1.000000,Good
09-07-2013 08:10:01,0 - 4.5,0.800000,Good
16-07-2013 07:56:01,0,1.000000,Good
16-07-2013 07:56:03,0 - 5,0.900000,Good
23-07-2013 08:02:00,0 - 2.7,0.600000,Good
30-07-2013 08:22:01,0,0.700000,Good
30-07-2013 08:22:02,0 - 2.7,0.700000,Good
06-08-2013 10:05:00,0 - 4.8,1.300000,Good
13-08-2013 08:02:01,0,1.100000,Good
13-08-2013 08:02:02,0 - 4.3,0.800000,Good
20-08-2013 12:04:01,0 - 4.5,2.900000,Good
27-08-2013 07:43:01,0 - 4.5,2.700000,Good
27-08-2013 07:43:02,0,3.900000,Good
03-09-2013 07:53:01,0 - 4.5,3.800000,Good
10-09-2013 08:04:01,0,11.000000,Good
10-09-2013 08:04:02,0 - 4.5,6.600000,Good
17-09-2013 07:48:01,0 - 4.5,8.300000,Good
24-09-2013 07:52:01,0,11.000000,Good
24-09-2013 07:52:02,0 - 4.5,4.500000,Good
02-10-2013 07:51:01,0 - 4.5,1.500000,Good
08-10-2013 08:10:01,0,15.000000,Good
08-10-2013 08:10:02,0 - 4.5,5.200000,Good
15-10-2013 07:53:01,0 - 4,1.600000,Good
22-10-2013 07:58:01,0,4.500000,Good
22-10-2013 07:58:02,0 - 4.2,3.100000,Good
29-10-2013 07:54:01,0 - 3,1.200000,Good
05-11-2013 08:07:01,0,1.900000,Good
05-11-2013 08:07:03,0 - 4.5,1.900000,Good
12-11-2013 07:53:01,0 - 4.5,0.800000,Good
19-11-2013 08:04:01,0,0.900000,Good
19-11-2013 08:04:02,0 - 4,1.200000,Good
26-11-2013 08:01:01,0 - 4.2,1.500000,Good
03-12-2013 08:10:01,0,1.700000,Good
03-12-2013 08:10:02,0 - 4,0.900000,Good
10-12-2013 07:45:01,0 - 4,1.500000,Good
17-12-2013 08:05:01,0 - 4.5,1.100000,Good
17-12-2013 08:05:02,0,1.000000,Good
24-12-2013 07:49:01,0 - 4,0.800000,Good
31-12-2013 08:02:01,0 - 4,0.500000,Good
31-12-2013 08:02:02,0,1.100000,Good
07-01-2014 11:54:01,0 - 4.5,0.700000,Good
14-01-2014 08:14:01,0,0.900000,Good
14-01-2014 08:14:02,0 - 4,0.900000,Good
21-01-2014 07:58:01,0 - 4,1.000000,Good
29-01-2014 08:22:00,0 - 4,0.500000,Good
29-01-2014 08:22:01,0,0.900000,Good
04-02-2014 08:21:00,0 - 4,0.600000,Good
11-02-2014 08:05:00,0,2.600000,Good
11-02-2014 08:05:01,0 - 4,1.600000,Good
18-02-2014 08:04:01,0 - 4,0.600000,Good
25-02-2014 08:06:01,0,0.900000,Good
25-02-2014 08:06:02,0 - 4,0.600000,Good
05-03-2014 08:10:01,0 - 4,0.600000,Good
11-03-2014 07:56:01,0,1.200000,Good
11-03-2014 07:56:02,0 - 3.7,0.600000,Good
18-03-2014 08:02:01,0 - 4,1.400000,Good
25-03-2014 08:08:00,0,1.100000,Good
25-03-2014 08:08:01,0 - 4,1.400000,Good
01-04-2014 07:51:01,0 - 4.5,1.600000,Good
08-04-2014 08:01:01,0,0.900000,Good
08-04-2014 08:01:02,0 - 4,0.800000,Good
15-04-2014 08:49:01,0 - 4.5,0.600000,Good
22-04-2014 07:59:00,0 - 4,0.700000,Good
28-04-2014 08:40:01,0 - 4.5,0.700000,Good
06-05-2014 08:12:01,0,2.100000,Good
06-05-2014 08:12:02,0 - 4.5,1.300000,Good
13-05-2014 08:08:00,0 - 4.3,1.000000,Good
20-05-2014 08:25:01,0,6.100000,Good
20-05-2014 08:25:03,0 - 4.3,2.000000,Good
27-05-2014 08:03:01,0 - 4.8,1.100000,Good
04-06-2014 07:40:01,0,5.300000,Good
04-06-2014 07:40:03,0 - 4.2,2.200000,Good
10-06-2014 07:51:01,0 - 5,1.000000,Good
17-06-2014 11:55:00,0,0.900000,Good
24-06-2014 08:13:01,0 - 4.3,0.600000,Good
01-07-2014 07:52:00,0,1.400000,Good
01-07-2014 07:52:01,0 - 4.5,0.700000,Good
15-07-2014 10:56:00,0,0.800000,Good
15-07-2014 10:56:01,0 - 4.7,0.500000,Good
22-07-2014 07:35:00,0 - 5.4,0.600000,Good
05-08-2014 07:43:00,0 - 4.5,0.600000,Good
12-08-2014 09:28:01,0 - 4.5,1.300000,Good
12-08-2014 09:28:02,0,2.400000,Good
19-08-2014 09:22:00,0 - 4.5,0.800000,Good
26-08-2014 10:01:00,0,2.200000,Good
26-08-2014 10:01:01,0 - 4.5,1.200000,Good
02-09-2014 09:08:00,0 - 4.5,1.000000,Good
09-09-2014 09:13:00,0,1.400000,Good
09-09-2014 09:13:01,0 - 4.5,0.800000,Good
16-09-2014 07:52:00,0 - 4.5,3.000000,Good
23-09-2014 09:22:01,0,1.300000,Good
23-09-2014 09:22:03,0 - 4.2,1.600000,Good
01-10-2014 09:18:00,0 - 4,2.200000,Good
07-10-2014 09:37:01,0,0.800000,Good
07-10-2014 09:37:02,0 - 4.3,1.100000,Good
14-10-2014 07:54:00,0 - 4.5,1.300000,Good
21-10-2014 08:01:01,0,0.600000,Good
21-10-2014 08:01:02,0 - 4.3,1.800000,Good
28-10-2014 08:16:01,0 - 4,1.000000,Good
04-11-2014 07:55:00,0,0.600000,Good
04-11-2014 07:55:02,0 - 4.2,1.200000,Good
11-11-2014 10:49:00,0 - 4.5,1.000000,Good
14-11-2014 10:22:00,0,0.700000,Good
18-11-2014 10:22:01,0 - 4,0.900000,Good
25-11-2014 07:49:01,NaN,2.100000,Good
02-12-2014 07:57:01,0,2.200000,Good
02-12-2014 07:57:02,0 - 4,2.000000,Good
09-12-2014 07:37:01,0 - 4,1.000000,Good
16-12-2014 07:51:00,0 - 4,0.900000,Good
16-12-2014 07:57:01,0,0.800000,Good
23-12-2014 08:05:00,0 - 4,0.900000,Good
30-12-2014 08:04:01,0,0.900000,Good
30-12-2014 08:04:02,0 - 4.1,1.500000,Good
06-01-2015 07:55:01,0 - 4,3.000000,Good
13-01-2015 08:00:01,0,0.900000,Good
13-01-2015 08:00:02,0 - 3.5,1.200000,Good
20-01-2015 07:39:01,0 - 4,1.100000,Good
28-01-2015 07:41:01,0,1.400000,Good
28-01-2015 07:41:03,0 - 4,1.800000,Good
03-02-2015 08:03:00,0 - 4,2.000000,Good
10-02-2015 07:49:00,0,2.600000,Good
10-02-2015 07:49:01,0 - 4.2,1.700000,Good
17-02-2015 07:46:01,0 - 4,1.900000,Good
24-02-2015 07:47:01,0,0.800000,Good
04-03-2015 07:50:01,0 - 4,0.800000,Good
10-03-2015 10:49:02,0 - 4.3,1.100000,Good
17-03-2015 07:42:00,0 - 4,0.800000,Good
24-03-2015 07:42:00,0,0.500000,Good
24-03-2015 07:42:01,0 - 4.2,1.300000,Good
31-03-2015 07:41:01,0 - 4.5,1.000000,Good
08-04-2015 08:01:01,0,0.700000,Good
08-04-2015 08:01:02,0 - 4.5,0.600000,Good
14-04-2015 07:54:01,0 - 4.5,1.600000,Good
21-04-2015 07:54:01,0 - 4.4,1.100000,Good
21-04-2015 07:54:02,0,1.400000,Good
29-04-2015 07:45:01,0 - 4.5,0.600000,Good
12-05-2015 07:31:01,0 - 4,0.600000,Good
19-05-2015 07:47:02,0,0.600000,Good
19-05-2015 07:47:03,0 - 4.8,0.800000,Good
26-05-2015 07:50:01,0 - 4.3,1.000000,Good
03-06-2015 07:45:01,0,0.900000,Good
03-06-2015 07:45:02,0 - 4.5,0.600000,Good
16-06-2015 08:12:01,0,1.000000,Good
16-06-2015 08:12:02,0 - 4.5,0.800000,Good
23-06-2015 08:07:01,0 - 4,2.700000,Good
30-06-2015 08:03:01,0,1.400000,Good
30-06-2015 08:03:02,0 - 4.5,0.800000,Good
07-07-2015 08:18:00,0 - 4.2,1.100000,Good
14-07-2015 08:00:01,0,1.400000,Good
14-07-2015 08:00:02,0 - 4.5,0.800000,Good
21-07-2015 07:42:01,0 - 4,0.700000,Good
28-07-2015 08:02:01,0,0.800000,Good
28-07-2015 08:02:02,0 - 4.5,0.700000,Good
04-08-2015 07:52:01,0 - 4.5,0.700000,Good
11-08-2015 08:08:01,0,0.700000,Good
11-08-2015 08:08:02,0 - 4.2,0.600000,Good
18-08-2015 08:06:01,0 - 3,2.100000,Good
25-08-2015 07:55:01,0 - 4.5,0.800000,Good
25-08-2015 07:55:02,0,0.800000,Good
01-09-2015 08:02:01,0 - 4,1.100000,Good
08-09-2015 08:25:01,0,1.400000,Good
08-09-2015 08:25:02,0 - 4,2.100000,Good
15-09-2015 07:58:01,0 - 4,1.000000,Good
22-09-2015 08:09:01,0,0.700000,Good
22-09-2015 08:09:03,0 - 4.2,0.700000,Good
30-09-2015 07:56:01,0 - 4,0.900000,Good
06-10-2015 08:03:02,0 - 4.3,1.400000,Good
06-10-2015 08:03:03,0,1.000000,Good
13-10-2015 07:54:01,0 - 4,1.100000,Good
20-10-2015 08:25:01,0,0.600000,Good
20-10-2015 08:25:02,0 - 4,0.800000,Good
27-10-2015 07:53:00,0 - 4,0.700000,Good
03-11-2015 07:51:00,0,1.300000,Good
03-11-2015 07:51:01,0 - 4.1,0.800000,Good
10-11-2015 08:10:00,0 - 4,1.100000,Good
17-11-2015 07:46:01,0 - 4,1.500000,Good
24-11-2015 08:09:00,0 - 4,0.900000,Good
01-12-2015 08:13:01,0,0.700000,Good
01-12-2015 08:13:02,0 - 3.8,0.700000,Good
08-12-2015 07:49:01,0 - 4,0.900000,Good
15-12-2015 08:00:00,0 - 4.4,0.500000,Good
15-12-2015 08:00:01,0,0.600000,Good
22-12-2015 08:08:01,0 - 4,0.800000,Good
30-12-2015 08:07:00,0,0.900000,Good
30-12-2015 08:07:01,0 - 4,0.700000,Good
05-01-2016 08:05:00,0 - 4,0.900000,Good
12-01-2016 08:09:00,0,1.200000,Good
12-01-2016 08:09:01,0 - 4,0.600000,Good
19-01-2016 08:02:00,0 - 4,3.000000,Good
27-01-2016 08:02:00,0,0.600000,Good
27-01-2016 08:02:01,0 - 4,2.100000,Good
02-02-2016 08:09:00,0 - 4,1.900000,Good
09-02-2016 07:42:00,0,1.800000,Good
09-02-2016 07:42:01,0 - 4.5,1.300000,Good
23-02-2016 08:02:00,0,0.900000,Good
23-02-2016 08:02:01,0 - 4,1.400000,Good
01-03-2016 08:13:00,0 - 4,1.100000,Good
09-03-2016 08:29:00,0,0.500000,Good
09-03-2016 08:29:01,0 - 4,0.500000,Good
15-03-2016 07:50:00,0 - 4,1.100000,Good
22-03-2016 07:54:00,0,1.500000,Good
22-03-2016 07:54:01,0 - 4.2,1.800000,Good
29-03-2016 08:21:00,0 - 3.5,2.900000,Good
05-04-2016 08:22:00,0,4.100000,Good
05-04-2016 08:23:00,0 - 4.1,1.600000,Good
12-04-2016 08:06:00,0 - 4,0.900000,Good
19-04-2016 08:19:00,0 - 4.6,2.800000,Good
19-04-2016 08:19:01,0,19.000000,Good
27-04-2016 08:14:00,0 - 4.2,2.100000,Good
03-05-2016 08:08:00,0,4.500000,Good
03-05-2016 08:08:02,0 - 4.4,4.000000,Good
10-05-2016 08:06:00,0 - 4,1.600000,Good
17-05-2016 08:05:00,0 - 4,3.100000,Good
17-05-2016 08:05:01,0,6.000000,Good
24-05-2016 07:54:00,0 - 4.6,2.900000,Good
31-05-2016 07:50:00,0,2.000000,Good
31-05-2016 07:50:01,0 - 4.6,3.300000,Good
08-06-2016 08:06:00,0 - 4.5,1.500000,Good
14-06-2016 00:00:00,0 - 4.8,5.800000,Good
14-06-2016 07:50:01,0,4.900000,Good
21-06-2016 07:59:00,0 - 4,4.200000,Good
28-06-2016 08:12:00,0 - 4.5,10.000000,Good
28-06-2016 08:12:01,0,2.700000,Good
