Date,Depth,Data,QC
14-01-2021 13:14:00,0 - 18.9,0.004000,Good
01-02-2021 12:11:00,0 - 18.9,0.003000,Good
01-03-2021 11:37:00,0 - 19.2,0.002000,Good
06-04-2021 12:40:00,0 - 19.5,0.003000,Good
06-05-2021 12:40:00,0 - 19.5,0.004000,Good
01-06-2021 12:33:00,0 - 19.6,0.005000,Good
19-07-2021 12:55:00,0 - 19.3,0.005000,Good
02-08-2021 12:55:00,0 - 19.2,0.005000,Good
07-09-2021 12:31:00,0 - 19.6,0.003000,Good
23-10-2021 11:00:00,0 - 19.1,0.003000,Good
09-11-2021 12:24:00,0 - 18.8,0.005000,Good
10-12-2021 11:14:00,0 - 19.2,0.003000,Good
04-01-2022 11:40:00,0 - 18.5,0.002000,Good
01-02-2022 12:12:00,0 - 18.9,0.004000,Good
07-04-2022 12:07:00,0 - 19.5,0.003000,Good
02-05-2022 12:55:00,0 - 19.4,0.003000,Good
02-06-2022 13:41:00,0 - 19.6,0.005000,Good
13-07-2022 13:00:00,0 - 19.5,0.005000,Good
