Date,Depth,Data,QC
15-01-2021 12:20:00,0 - 14.5,0.000600,Good
02-02-2021 10:46:00,0 - 15,0.001200,Good
02-03-2021 11:23:00,0 - 15.1,0.001600,Good
07-04-2021 11:52:00,0 - 14.8,0.001800,Good
03-06-2021 12:30:00,0 - 15,0.001100,Good
20-07-2021 12:24:00,0 - 14.9,0.001000,Good
03-08-2021 12:43:00,0 - 14.7,0.001500,Good
08-09-2021 12:32:00,0 - 15.2,0.001400,Good
22-10-2021 11:50:00,0 - 14.9,0.000800,Good
10-11-2021 11:07:00,0 - 14.9,0.000700,Good
09-12-2021 11:07:00,0 - 15,0.000500,Good
04-01-2022 11:20:00,0 - 14.5,0.001000,Good
02-02-2022 13:05:00,0 - 14.5,0.001000,Good
07-03-2022 11:17:00,0 - 14.9,0.000800,Good
06-04-2022 11:51:00,0 - 15.3,0.001600,Good
04-05-2022 13:35:00,0 - 15,0.001700,Good
01-06-2022 13:12:00,0 - 15.4,0.001400,Good
12-07-2022 13:40:00,0 - 15,0.000900,Good
