Date,Depth,Data,QC
14-01-2021 14:20:00,-0.2903,7.130025,Good
14-01-2021 14:20:01,-0.4775,6.955900,Good
14-01-2021 14:20:02,-0.5340,6.704425,Good
14-01-2021 14:20:03,-0.7678,6.795500,Good
14-01-2021 14:20:04,-0.7903,6.953250,Good
14-01-2021 14:20:05,-0.8882,6.960000,Good
14-01-2021 14:20:06,-0.9605,6.981050,Good
14-01-2021 14:20:07,-1.1418,6.967475,Good
14-01-2021 14:20:08,-1.3270,6.918700,Good
14-01-2021 14:20:09,-1.4280,7.044575,Good
14-01-2021 14:20:10,-1.4560,7.085950,Good
14-01-2021 14:20:11,-1.5765,7.049350,Good
14-01-2021 14:20:12,-1.6255,7.065125,Good
14-01-2021 14:20:13,-1.7790,7.059525,Good
14-01-2021 14:20:14,-1.9010,7.045325,Good
14-01-2021 14:20:15,-2.0155,7.060725,Good
14-01-2021 14:20:16,-2.1202,7.090400,Good
14-01-2021 14:20:17,-2.2727,7.129250,Good
14-01-2021 14:20:18,-2.3847,7.123200,Good
14-01-2021 14:20:19,-2.5920,7.157525,Good
14-01-2021 14:20:20,-2.8613,7.213525,Good
14-01-2021 14:20:21,-3.0768,7.240600,Good
14-01-2021 14:20:22,-3.0753,7.258800,Good
14-01-2021 14:20:23,-3.0815,7.250175,Good
14-01-2021 14:20:24,-3.0875,7.259075,Good
14-01-2021 14:20:25,-3.1010,7.260600,Good
01-02-2021 11:40:48,-0.3100,7.522150,Good
01-02-2021 11:40:49,-0.4143,7.451050,Good
01-02-2021 11:40:50,-0.4908,7.251050,Good
01-02-2021 11:40:51,-0.6595,7.177125,Good
01-02-2021 11:40:52,-0.6970,7.349750,Good
01-02-2021 11:40:53,-0.9055,7.469525,Good
01-02-2021 11:40:54,-0.9257,7.486500,Good
01-02-2021 11:40:55,-1.0197,7.472925,Good
01-02-2021 11:40:56,-1.0522,7.383250,Good
01-02-2021 11:40:57,-1.2337,7.365500,Good
01-02-2021 11:40:58,-1.2360,7.388875,Good
01-02-2021 11:40:59,-1.3862,7.422175,Good
01-02-2021 11:41:00,-1.3900,7.410775,Good
01-02-2021 11:41:01,-1.4795,7.345600,Good
01-02-2021 11:41:02,-1.5582,7.352025,Good
01-02-2021 11:41:03,-1.5917,7.395150,Good
01-02-2021 11:41:04,-1.7020,7.409000,Good
01-02-2021 11:41:05,-1.6915,7.397250,Good
01-02-2021 11:41:06,-1.6950,7.410725,Good
01-02-2021 11:41:07,-1.8513,7.398100,Good
01-02-2021 11:41:08,-1.8758,7.357325,Good
01-02-2021 11:41:09,-2.0290,7.407925,Good
01-02-2021 11:41:10,-2.0295,7.448800,Good
01-02-2021 11:41:11,-2.1873,7.447525,Good
01-02-2021 11:41:12,-2.2388,7.472375,Good
01-02-2021 11:41:13,-2.4080,7.479375,Good
01-02-2021 11:41:14,-2.5055,7.488475,Good
01-02-2021 11:41:15,-2.5860,7.514675,Good
01-02-2021 11:41:16,-2.7010,7.530200,Good
01-02-2021 11:41:17,-2.7483,7.551050,Good
01-02-2021 11:41:18,-2.8687,7.564850,Good
01-02-2021 11:41:19,-2.9740,7.570550,Good
01-02-2021 11:41:20,-2.9845,7.563775,Good
01-02-2021 11:41:21,-3.0987,7.554425,Good
01-02-2021 11:41:22,-3.1067,7.576625,Good
01-02-2021 11:41:23,-3.1578,7.591650,Good
01-02-2021 11:41:24,-3.1507,7.593850,Good
01-03-2021 11:13:50,-0.3505,6.234275,Good
01-03-2021 11:13:51,-0.4168,6.212450,Good
01-03-2021 11:13:52,-0.5302,6.180825,Good
01-03-2021 11:13:53,-0.6412,6.179250,Good
01-03-2021 11:13:54,-0.7520,6.199400,Good
01-03-2021 11:13:55,-0.8835,6.196625,Good
01-03-2021 11:13:56,-0.9692,6.181900,Good
01-03-2021 11:13:57,-1.0300,6.188350,Good
01-03-2021 11:13:58,-1.0830,6.207525,Good
01-03-2021 11:13:59,-1.2083,6.190175,Good
01-03-2021 11:14:00,-1.3920,6.187350,Good
01-03-2021 11:14:01,-1.4912,6.190325,Good
