Date,Depth,Data,QC
14-01-2021 15:15:48,0.3885,0.410100,Good
14-01-2021 15:15:49,0.607,0.452100,Good
14-01-2021 15:15:50,0.5875,0.378200,Good
14-01-2021 15:15:51,0.7955,0.363500,Good
14-01-2021 15:15:52,0.952,0.399650,Good
14-01-2021 15:15:53,1.12,0.334850,Good
14-01-2021 15:15:54,1.2065,0.313425,Good
14-01-2021 15:15:55,1.355,0.338700,Good
14-01-2021 15:15:56,1.449,0.346400,Good
14-01-2021 15:15:57,1.544,0.342300,Good
14-01-2021 15:15:58,1.61675,0.342950,Good
14-01-2021 15:15:59,1.67975,0.381400,Good
14-01-2021 15:16:00,1.6795,0.367000,Good
14-01-2021 15:16:01,1.77725,0.392150,Good
14-01-2021 15:16:02,1.9575,0.331275,Good
14-01-2021 15:16:03,2.14775,0.320600,Good
14-01-2021 15:16:04,2.291,0.377950,Good
14-01-2021 15:16:05,2.50725,0.385300,Good
14-01-2021 15:16:06,2.70775,0.381450,Good
14-01-2021 15:16:07,2.92225,0.360800,Good
14-01-2021 15:16:08,3.1115,0.338550,Good
14-01-2021 15:16:09,3.31125,0.349400,Good
14-01-2021 15:16:10,3.44375,0.313675,Good
14-01-2021 15:16:11,3.64575,0.514000,Good
14-01-2021 15:16:12,3.804,0.388800,Good
14-01-2021 15:16:13,3.973,0.367600,Good
14-01-2021 15:16:14,4.18125,0.392200,Good
14-01-2021 15:16:15,4.22,0.353300,Good
14-01-2021 15:16:16,4.4455,0.392400,Good
14-01-2021 15:16:17,4.53375,0.353550,Good
14-01-2021 15:16:18,4.6385,0.352800,Good
14-01-2021 15:16:19,4.77,0.366850,Good
14-01-2021 15:16:20,4.97675,0.409500,Good
14-01-2021 15:16:21,5.13,0.370650,Good
14-01-2021 15:16:22,5.3165,0.374400,Good
14-01-2021 15:16:23,5.4395,0.431500,Good
14-01-2021 15:16:24,5.6285,0.353300,Good
14-01-2021 15:16:25,5.73875,0.384925,Good
14-01-2021 15:16:26,5.95025,0.346400,Good
