Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANCATCH
Data File Name,616027_Mean_Stage_Height_DATA.csv
Location,data-warehouse/csv/dwer/swancatch
Station Status,Active
Lat,-32.092304542
Long,116.016771762
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616027
Site Description,616027
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00150
Data Classification,WQ Grab
Sampling Rate (min),1440.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Mean Stage Height (m),Decimal
QC,String
