Date,Depth,Data,QC
14-01-2021 14:34:00,0 - 8.5,0.003400,Good
01-02-2021 13:24:00,0 - 8.9,0.003100,Good
01-03-2021 12:54:00,0 - 9.4,0.001900,Good
06-04-2021 13:43:00,0 - 9.5,0.007600,Good
06-05-2021 13:58:00,0 - 9.6,0.001600,Good
01-06-2021 13:49:00,0 - 9.3,0.001700,Good
19-07-2021 14:09:00,0 - 9.1,0.002700,Good
02-08-2021 14:12:00,0 - 8.8,0.001100,Good
07-09-2021 13:43:00,0 - 9.4,0.002300,Good
23-10-2021 12:00:00,0 - 8.9,0.001800,Good
09-11-2021 13:37:00,0 - 8.1,0.004100,Good
09-12-2021 12:23:00,0 - 9,0.001700,Good
05-01-2022 12:47:00,0 - 8.5,0.003900,Good
01-02-2022 13:24:00,0 - 8.3,0.002700,Good
08-03-2022 13:16:00,0 - 9.2,0.004800,Good
07-04-2022 13:26:00,0 - 9.3,0.003200,Good
02-05-2022 14:00:00,0 - 9,0.004600,Good
02-06-2022 14:58:00,0 - 8.9,0.003000,Good
13-07-2022 14:15:00,0 - 8.8,0.000700,Good
