Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6142973_Ammonium_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,-32.170702535
Long,115.762482702
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6142973
Site Description,6142973
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),82451.7500
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ammonium (mg/L),Decimal
QC,String
