Date,Depth,Data,QC
15-01-2021 12:20:00,0 - 14.5,0.014000,Good
02-02-2021 10:46:00,0 - 15,0.014000,Good
02-03-2021 11:23:00,0 - 15.1,0.015000,Good
07-04-2021 11:52:00,0 - 14.8,0.015000,Good
03-06-2021 12:30:00,0 - 15,0.016000,Good
20-07-2021 12:24:00,0 - 14.9,0.014000,Good
03-08-2021 12:43:00,0 - 14.7,0.015000,Good
08-09-2021 12:32:00,0 - 15.2,0.015000,Good
22-10-2021 11:50:00,0 - 14.9,0.017000,Good
10-11-2021 11:07:00,0 - 14.9,0.014000,Good
09-12-2021 11:07:00,0 - 15,0.016000,Good
04-01-2022 11:20:00,0 - 14.5,0.016000,Good
02-02-2022 13:05:00,0 - 14.5,0.015000,Good
07-03-2022 11:17:00,0 - 14.9,0.014000,Good
06-04-2022 11:51:00,0 - 15.3,0.017000,Good
04-05-2022 13:35:00,0 - 15,0.017000,Good
01-06-2022 13:12:00,0 - 15.4,0.014000,Good
12-07-2022 13:40:00,0 - 15,0.016000,Good
