Date,Depth,Data,QC
04-01-2010 10:04:05,0.22,27.570000,Good
04-01-2010 10:05:15,0.521,27.540000,Good
04-01-2010 10:05:45,1.013,27.520000,Good
04-01-2010 10:06:31,1.508,27.460000,Good
04-01-2010 10:07:21,2.013,27.460000,Good
11-01-2010 09:54:29,0.22,27.140000,Good
11-01-2010 09:55:13,0.523,27.160000,Good
11-01-2010 09:56:05,1.009,27.140000,Good
11-01-2010 09:57:46,1.508,27.030000,Good
11-01-2010 09:58:52,2.005,27.100000,Good
18-01-2010 09:14:12,0.204,28.310000,Good
18-01-2010 09:15:01,0.512,28.290000,Good
18-01-2010 09:15:37,1.008,28.170000,Good
18-01-2010 09:16:17,1.498,28.330000,Good
18-01-2010 09:17:22,2.009,28.670000,Good
18-01-2010 09:18:38,2.502,28.670000,Good
18-01-2010 09:19:07,2.865,28.660000,Good
25-01-2010 09:33:39,0.202,28.120000,Good
25-01-2010 09:34:13,0.504,28.200000,Good
25-01-2010 09:35:02,1.002,28.250000,Good
25-01-2010 09:35:44,1.503,28.320000,Good
25-01-2010 09:36:09,1.993,28.870000,Good
25-01-2010 09:36:46,2.519,29.080000,Good
01-02-2010 09:46:46,0.193,27.760000,Good
01-02-2010 09:47:12,0.491,27.470000,Good
01-02-2010 09:47:58,0.993,27.450000,Good
01-02-2010 09:48:32,1.49,27.510000,Good
01-02-2010 09:49:34,1.897,27.670000,Good
08-02-2010 09:48:27,0.246,26.390000,Good
08-02-2010 09:49:32,0.524,26.130000,Good
08-02-2010 09:50:47,1.041,25.860000,Good
08-02-2010 09:52:15,1.52,25.920000,Good
08-02-2010 09:53:38,2.008,26.210000,Good
08-02-2010 09:54:52,2.521,26.290000,Good
15-02-2010 09:32:42,0.205,27.920000,Good
15-02-2010 09:33:50,0.503,27.730000,Good
15-02-2010 09:34:51,1.006,27.650000,Good
15-02-2010 09:35:45,1.511,27.970000,Good
15-02-2010 09:36:47,2,28.070000,Good
15-02-2010 09:37:45,2.5,28.110000,Good
15-02-2010 09:38:47,3.001,28.110000,Good
22-02-2010 10:03:22,0.2,26.620000,Good
22-02-2010 10:03:52,0.5,26.610000,Good
22-02-2010 10:04:19,1,26.500000,Good
22-02-2010 10:05:07,1.51,26.460000,Good
22-02-2010 10:05:46,2.02,26.640000,Good
22-02-2010 10:06:36,2.41,26.800000,Good
02-03-2010 09:58:53,0.217,27.120000,Good
02-03-2010 09:59:56,0.522,26.990000,Good
02-03-2010 10:00:32,1.036,26.850000,Good
02-03-2010 10:01:45,1.521,26.960000,Good
02-03-2010 10:02:45,2.014,27.100000,Good
02-03-2010 10:03:43,2.516,27.180000,Good
02-03-2010 10:04:22,2.758,27.180000,Good
08-03-2010 09:35:07,0.225,24.550000,Good
08-03-2010 09:36:15,0.523,24.450000,Good
08-03-2010 09:37:48,1.003,24.350000,Good
08-03-2010 09:39:01,1.507,24.720000,Good
08-03-2010 09:40:03,2.002,24.900000,Good
08-03-2010 09:40:35,2.269,24.920000,Good
15-03-2010 09:36:50,0.213,26.120000,Good
15-03-2010 09:37:45,0.499,26.100000,Good
15-03-2010 09:38:53,1.002,25.760000,Good
15-03-2010 09:40:17,1.507,25.710000,Good
15-03-2010 09:41:15,2.007,25.630000,Good
15-03-2010 09:41:59,2.497,25.560000,Good
15-03-2010 09:42:22,2.918,25.540000,Good
29-03-2010 09:55:49,0.206,23.640000,Good
29-03-2010 09:56:52,0.481,23.500000,Good
29-03-2010 09:57:23,1.009,23.580000,Good
29-03-2010 09:58:34,1.517,23.400000,Good
29-03-2010 09:59:08,2.061,23.390000,Good
29-03-2010 10:00:13,2.518,23.400000,Good
06-04-2010 11:30:00,0.222,21.880000,Good
06-04-2010 11:30:44,0.531,21.610000,Good
06-04-2010 11:31:26,1.019,21.500000,Good
06-04-2010 11:32:05,1.524,21.720000,Good
06-04-2010 11:32:35,2.037,22.620000,Good
06-04-2010 11:33:14,3.09,22.910000,Good
12-04-2010 09:55:22,0.236,21.320000,Good
12-04-2010 09:56:08,0.505,21.420000,Good
12-04-2010 09:57:16,1.003,21.490000,Good
12-04-2010 09:58:17,1.526,22.440000,Good
12-04-2010 09:59:12,2.012,22.840000,Good
12-04-2010 10:00:15,2.729,22.970000,Good
19-04-2010 09:39:15,0.225,21.420000,Good
19-04-2010 09:39:49,0.507,21.250000,Good
19-04-2010 09:40:28,1.01,21.350000,Good
19-04-2010 09:41:39,1.521,21.850000,Good
19-04-2010 09:42:53,2.012,22.320000,Good
19-04-2010 09:43:57,2.516,22.360000,Good
19-04-2010 09:44:52,3.021,22.380000,Good
19-04-2010 09:45:29,3.257,22.410000,Good
27-04-2010 10:16:51,0.208,19.460000,Good
27-04-2010 10:17:41,0.507,19.520000,Good
27-04-2010 10:19:49,1.005,19.380000,Good
27-04-2010 10:21:35,1.506,19.590000,Good
27-04-2010 10:22:57,2.02,19.690000,Good
27-04-2010 10:24:09,2.517,19.790000,Good
27-04-2010 10:25:07,3.027,19.770000,Good
27-04-2010 10:25:50,3.382,19.760000,Good
03-05-2010 09:59:39,0.214,18.550000,Good
03-05-2010 10:01:26,0.507,18.590000,Good
03-05-2010 10:02:19,1.006,18.910000,Good
03-05-2010 10:03:50,1.524,19.530000,Good
03-05-2010 10:04:28,1.997,19.610000,Good
03-05-2010 10:05:18,2.509,19.650000,Good
03-05-2010 10:05:57,2.999,19.710000,Good
03-05-2010 10:06:24,3.278,19.710000,Good
10-05-2010 09:48:06,0.205,17.320000,Good
10-05-2010 09:49:05,0.514,17.310000,Good
10-05-2010 09:50:05,1.039,17.570000,Good
10-05-2010 09:51:11,1.513,18.000000,Good
10-05-2010 09:52:13,2.068,18.770000,Good
10-05-2010 09:53:12,2.52,19.080000,Good
10-05-2010 09:53:45,2.809,19.180000,Good
17-05-2010 09:52:14,0.189,15.730000,Good
17-05-2010 09:53:28,1.058,16.250000,Good
17-05-2010 09:54:00,1.494,16.290000,Good
17-05-2010 09:54:25,2,16.280000,Good
17-05-2010 09:54:49,2.503,16.280000,Good
17-05-2010 09:55:34,2.957,16.290000,Good
24-05-2010 09:59:17,0.224,16.080000,Good
24-05-2010 10:00:58,0.512,16.770000,Good
24-05-2010 10:03:14,1.016,16.870000,Good
24-05-2010 10:04:35,1.522,16.950000,Good
24-05-2010 10:05:45,2.013,17.140000,Good
24-05-2010 10:07:14,2.508,17.230000,Good
24-05-2010 10:08:34,3.015,17.260000,Good
31-05-2010 10:10:25,0.228,14.490000,Good
31-05-2010 10:11:10,0.529,14.550000,Good
31-05-2010 10:11:58,1.044,15.980000,Good
31-05-2010 10:12:51,1.502,16.940000,Good
31-05-2010 10:13:31,2.035,17.180000,Good
31-05-2010 10:14:08,2.542,17.230000,Good
31-05-2010 10:14:41,2.915,17.250000,Good
08-06-2010 10:15:52,0.223,14.320000,Good
08-06-2010 10:17:08,0.471,14.330000,Good
08-06-2010 10:18:28,1.029,17.590000,Good
08-06-2010 10:19:16,1.518,17.960000,Good
08-06-2010 10:19:47,2.007,18.050000,Good
08-06-2010 10:20:49,2.506,18.060000,Good
08-06-2010 10:21:25,2.86,18.050000,Good
14-06-2010 09:50:29,0.234,14.820000,Good
14-06-2010 09:51:08,0.498,15.020000,Good
14-06-2010 09:52:05,1.017,15.680000,Good
14-06-2010 09:52:55,1.503,16.250000,Good
14-06-2010 09:53:53,2.007,16.650000,Good
14-06-2010 09:54:35,2.5,16.770000,Good
