Date,Depth,Data,QC
04-01-2010 09:30:00,0 - 6,0.001100,Good
04-01-2010 09:30:01,0,0.000800,Good
18-01-2010 09:32:01,0,0.000700,Good
25-01-2010 08:33:01,0,0.000700,Good
01-02-2010 09:26:00,0 - 6,0.000600,Good
08-02-2010 08:54:00,0 - 6,0.001100,Good
08-02-2010 08:54:01,0,0.000800,Good
15-02-2010 09:38:00,0 - 15.5,0.001200,Good
15-02-2010 09:38:02,0,0.000800,Good
22-02-2010 09:19:01,0 - 6,0.001800,Good
22-02-2010 09:19:02,0,0.001100,Good
02-03-2010 09:33:00,0 - 6,0.001700,Good
02-03-2010 09:33:01,0,0.001200,Good
08-03-2010 08:25:00,0 - 6,0.001400,Good
08-03-2010 08:25:01,0,0.000500,Good
15-03-2010 09:12:02,0 - 6,0.000700,Good
22-03-2010 08:19:00,0,0.001200,Good
22-03-2010 08:19:02,0 - 6,0.000600,Good
29-03-2010 00:00:00,0 - 6,0.001700,Good
29-03-2010 09:48:00,0,0.002000,Good
06-04-2010 08:18:00,0 - 6,0.000800,Good
06-04-2010 08:18:01,0,0.000900,Good
12-04-2010 07:42:00,0 - 6,0.000800,Good
12-04-2010 07:42:01,0,0.000700,Good
19-04-2010 09:52:01,0,0.000500,Good
03-05-2010 08:19:00,0 - 6,0.001600,Good
03-05-2010 08:19:01,0,0.000600,Good
10-05-2010 09:31:00,0 - 6,0.000700,Good
17-05-2010 08:33:01,0,0.000500,Good
31-05-2010 08:24:00,0 - 6,0.000500,Good
08-06-2010 09:35:00,0 - 6,0.000700,Good
14-06-2010 08:31:01,0,0.001000,Good
28-06-2010 08:31:01,0,0.000500,Good
05-07-2010 09:59:00,0 - 6,0.000700,Good
05-07-2010 09:59:01,0,0.000800,Good
19-07-2010 09:39:01,0,0.000600,Good
23-08-2010 07:51:00,0 - 6,0.000500,Good
27-10-2010 08:52:01,0,0.000700,Good
15-11-2010 08:06:00,0 - 5.5,0.000500,Good
06-12-2010 10:07:01,0,0.000700,Good
20-12-2010 10:29:01,0,0.000900,Good
04-01-2011 10:15:00,0 - 5.5,0.000700,Good
24-01-2011 08:08:00,0 - 5.5,0.000700,Good
31-01-2011 08:16:00,0 - 6,0.000500,Good
31-01-2011 08:16:01,0,0.000600,Good
07-02-2011 08:00:00,0 - 5.5,0.000700,Good
14-02-2011 10:18:00,0 - 5.5,0.001600,Good
14-02-2011 10:18:01,0,0.001200,Good
21-02-2011 07:53:00,0 - 6,0.000700,Good
14-03-2011 10:16:01,0,0.000900,Good
11-04-2011 10:20:00,0 - 6,0.000900,Good
11-04-2011 10:20:01,0,0.001000,Good
18-04-2011 08:08:00,0 - 6,0.000600,Good
27-04-2011 07:57:00,0,0.000500,Good
02-05-2011 08:00:00,0 - 6,0.000700,Good
09-05-2011 09:40:00,0 - 6,0.000500,Good
09-05-2011 09:40:01,0,0.000500,Good
30-05-2011 07:50:00,0 - 6,0.000600,Good
07-06-2011 09:55:00,0 - 5.5,0.000600,Good
07-06-2011 09:55:01,0,0.000600,Good
13-06-2011 08:01:00,0 - 6,0.000800,Good
20-06-2011 10:06:01,0,0.000800,Good
27-06-2011 07:53:00,0 - 5.5,0.000900,Good
04-07-2011 09:49:00,0,0.000800,Good
04-07-2011 09:49:02,0 - 6,0.000700,Good
11-07-2011 07:51:00,0 - 6,0.001800,Good
18-07-2011 09:40:00,0 - 5.5,0.000800,Good
18-07-2011 09:40:01,0,0.001200,Good
25-07-2011 07:51:00,0 - 5.5,0.000600,Good
01-08-2011 07:52:00,0 - 5.5,0.000600,Good
01-08-2011 07:52:01,0,0.001000,Good
08-08-2011 07:41:00,0 - 5.5,0.001300,Good
15-08-2011 08:02:00,0 - 5.5,0.003700,Good
15-08-2011 08:02:01,0,0.003900,Good
22-08-2011 07:43:00,0 - 5.5,0.001300,Good
29-08-2011 10:04:00,0 - 5.5,0.001700,Good
29-08-2011 10:04:01,0,0.002600,Good
05-09-2011 08:16:00,0 - 5.5,0.002500,Good
12-09-2011 09:37:00,0 - 6,0.001500,Good
12-09-2011 09:37:01,0,0.001100,Good
19-09-2011 07:48:00,0 - 5.5,0.001100,Good
26-09-2011 09:30:00,0 - 6,0.001500,Good
26-09-2011 09:30:01,0,0.001200,Good
03-10-2011 07:50:00,0 - 5.5,0.001600,Good
10-10-2011 09:50:00,0 - 5.5,0.000600,Good
10-10-2011 09:50:01,0,0.001100,Good
17-10-2011 07:48:00,0 - 5.5,0.000700,Good
24-10-2011 09:37:00,0,0.001500,Good
24-10-2011 09:57:00,0 - 5.5,0.000900,Good
31-10-2011 07:54:00,0 - 5.5,0.000600,Good
07-11-2011 08:03:01,0,0.000600,Good
21-11-2011 09:55:00,0 - 5.5,0.001100,Good
28-11-2011 08:06:00,0 - 5.5,0.001000,Good
05-12-2011 09:42:00,0 - 6.5,0.001000,Good
05-12-2011 09:42:02,0,0.000900,Good
12-12-2011 08:01:00,0 - 6,0.000600,Good
19-12-2011 09:37:00,0 - 5.5,0.000700,Good
19-12-2011 09:37:01,0,0.000700,Good
28-12-2011 08:30:01,0 - 5.5,0.000700,Good
03-01-2012 09:50:00,0 - 5.5,0.001800,Good
03-01-2012 09:50:01,0,0.002200,Good
16-01-2012 08:08:00,0,0.000500,Good
16-01-2012 08:08:01,0 - 5.5,0.000900,Good
23-01-2012 08:14:00,0 - 5.5,0.000800,Good
30-01-2012 09:51:00,0 - 5.5,0.000700,Good
30-01-2012 09:51:01,0,0.000900,Good
06-02-2012 07:48:01,0 - 6,0.001300,Good
13-02-2012 09:32:01,0,0.001400,Good
20-02-2012 08:15:01,0 - 5.5,0.001000,Good
27-02-2012 07:52:00,NaN,0.001000,Good
27-02-2012 07:52:02,0,0.001500,Good
04-03-2012 08:28:00,0 - 6.5,0.000900,Good
06-03-2012 07:54:00,0 - 5.5,0.001400,Good
12-03-2012 10:04:00,0 - 5.5,0.000800,Good
12-03-2012 10:04:01,0,0.000700,Good
19-03-2012 07:52:00,0 - 6,0.000500,Good
26-03-2012 09:15:00,0 - 5.5,0.001000,Good
26-03-2012 09:45:00,0,0.001100,Good
02-04-2012 08:04:00,0 - 6.5,0.000700,Good
10-04-2012 10:01:02,0 - 6.5,0.000800,Good
16-04-2012 07:53:00,0 - 5.5,0.000600,Good
23-04-2012 09:47:00,0,0.001300,Good
23-04-2012 09:47:02,0 - 6.5,0.001000,Good
30-04-2012 07:47:00,0 - 6,0.000500,Good
07-05-2012 07:56:00,0 - 6.5,0.001000,Good
07-05-2012 07:56:01,0,0.000700,Good
14-05-2012 08:00:00,0 - 6.5,0.001100,Good
21-05-2012 10:16:01,0,0.000600,Good
28-05-2012 08:04:00,0 - 6.5,0.000900,Good
05-06-2012 09:52:00,0,0.000900,Good
05-06-2012 09:52:01,0 - 6.5,0.000900,Good
18-06-2012 10:05:02,0 - 5.5,0.000900,Good
02-07-2012 10:09:00,0,0.000800,Good
02-07-2012 10:09:01,0 - 6.5,0.000800,Good
23-07-2012 08:14:00,0 - 5.5,0.000600,Good
30-07-2012 09:34:00,0 - 5.5,0.000800,Good
30-07-2012 09:34:01,0,0.000700,Good
27-08-2012 09:40:01,0,0.000900,Good
10-09-2012 09:33:01,0,0.000700,Good
17-09-2012 08:16:00,0 - 6,0.000500,Good
02-10-2012 08:57:01,0 - 5.5,0.000600,Good
08-10-2012 09:51:01,0 - 5.5,0.000800,Good
15-10-2012 08:20:00,0 - 6,0.000700,Good
22-10-2012 10:00:01,0,0.001000,Good
05-11-2012 08:11:00,0 - 6.5,0.000700,Good
05-11-2012 08:11:02,0,0.000600,Good
19-11-2012 09:38:00,0 - 5.5,0.000900,Good
19-11-2012 09:38:02,0,0.001500,Good
26-11-2012 08:22:00,0 - 6.5,0.000800,Good
03-12-2012 09:44:02,0,0.001200,Good
17-12-2012 10:01:02,0 - 6,0.000900,Good
24-12-2012 07:58:00,0 - 5.5,0.000500,Good
31-12-2012 09:43:01,0,0.001100,Good
07-01-2013 08:26:00,0 - 5.5,0.000500,Good
14-01-2013 09:35:00,0 - 5.5,0.000500,Good
14-01-2013 09:35:01,0,0.001200,Good
29-01-2013 09:41:00,0,0.001100,Good
29-01-2013 09:41:01,0 - 5.5,0.000500,Good
04-02-2013 09:55:00,0 - 5.5,0.000700,Good
11-02-2013 09:31:01,0,0.001000,Good
18-02-2013 07:50:00,0 - 3.5,0.001300,Good
25-02-2013 09:38:00,0,0.003400,Good
25-02-2013 09:38:01,0 - 5.5,0.001100,Good
05-03-2013 08:06:00,0 - 6.5,0.000600,Good
11-03-2013 10:13:00,0 - 6.5,0.000900,Good
11-03-2013 10:13:01,0,0.000900,Good
18-03-2013 08:00:00,0 - 5.5,0.001600,Good
25-03-2013 09:28:02,0,0.001000,Good
08-04-2013 09:40:00,0,0.000700,Good
08-04-2013 09:40:01,0 - 5.5,0.000600,Good
22-04-2013 07:55:00,0 - 6.5,0.000600,Good
22-04-2013 07:55:02,0,0.001200,Good
29-04-2013 07:56:00,0 - 5.5,0.000500,Good
06-05-2013 09:32:00,0,0.000700,Good
13-05-2013 08:13:00,0 - 6.5,0.000600,Good
20-05-2013 07:50:00,0,0.001000,Good
20-05-2013 07:50:01,0 - 5.5,0.001100,Good
27-05-2013 07:46:00,0 - 5.5,0.000800,Good
04-06-2013 09:37:00,0,0.000800,Good
04-06-2013 09:37:01,0 - 6.5,0.000500,Good
17-06-2013 07:58:00,0,0.000700,Good
17-06-2013 07:58:01,0 - 5.5,0.000500,Good
08-07-2013 08:10:01,0 - 6.5,0.000600,Good
15-07-2013 08:06:02,0 - 6.5,0.000600,Good
12-08-2013 08:53:00,0,0.000900,Good
12-08-2013 08:53:02,0 - 6.5,0.000800,Good
19-08-2013 08:06:00,0 - 5.5,0.001500,Good
26-08-2013 08:57:01,0,0.006300,Good
26-08-2013 09:07:01,0 - 6.5,0.001300,Good
02-09-2013 08:20:01,0 - 5.5,0.002000,Good
09-09-2013 09:36:01,0,0.003800,Good
09-09-2013 09:36:02,0 - 6.5,0.002100,Good
16-09-2013 08:02:01,0 - 5.5,0.002800,Good
23-09-2013 08:07:01,0 - 5.5,0.002400,Good
23-09-2013 08:07:02,0,0.003700,Good
01-10-2013 08:32:01,0 - 5.5,0.001500,Good
07-10-2013 09:35:01,0 - 6.5,0.001000,Good
14-10-2013 08:36:01,0 - 6.5,0.000700,Good
21-10-2013 08:18:01,0,0.002800,Good
21-10-2013 08:18:03,0 - 5.5,0.002300,Good
28-10-2013 08:09:01,0 - 6,0.001400,Good
04-11-2013 09:38:02,0 - 7,0.000700,Good
04-11-2013 09:38:03,0,0.000900,Good
11-11-2013 08:07:01,0 - 7,0.001400,Good
18-11-2013 09:39:05,0 - 6.5,0.000600,Good
25-11-2013 08:25:02,0 - 6.5,0.000600,Good
02-12-2013 10:04:00,0 - 6.5,0.001200,Good
02-12-2013 10:04:01,0,0.001100,Good
09-12-2013 07:59:01,0 - 6.5,0.000800,Good
16-12-2013 10:12:01,0 - 6.5,0.000500,Good
16-12-2013 10:12:02,0,0.000600,Good
23-12-2013 07:55:01,0 - 6.5,0.001000,Good
30-12-2013 10:11:02,0,0.001400,Good
06-01-2014 08:14:00,0 - 6.5,0.000500,Good
13-01-2014 09:56:01,0 - 6,0.000600,Good
13-01-2014 09:56:02,0,0.001200,Good
20-01-2014 08:21:00,0 - 6.5,0.001500,Good
28-01-2014 09:56:01,0,0.002200,Good
10-02-2014 10:12:02,0 - 6.5,0.000700,Good
17-02-2014 08:34:01,0 - 6.5,0.000600,Good
24-02-2014 09:59:04,0 - 6.5,0.000900,Good
10-03-2014 10:10:01,0,0.000700,Good
10-03-2014 10:10:02,0 - 6.5,0.000900,Good
17-03-2014 08:47:01,0 - 6.5,0.000500,Good
24-03-2014 10:01:02,0 - 6.5,0.000500,Good
07-04-2014 10:03:00,0,0.001600,Good
07-04-2014 10:03:02,0 - 6.5,0.001400,Good
14-04-2014 07:56:01,0 - 6.5,0.019000,Good
23-04-2014 09:52:01,0,0.001400,Good
23-04-2014 09:52:02,0 - 6.5,0.002300,Good
05-05-2014 09:53:00,0,0.000800,Good
05-05-2014 09:53:01,0 - 6.5,0.003000,Good
19-05-2014 09:32:01,0,0.001400,Good
19-05-2014 09:32:02,0 - 6.5,0.002300,Good
26-05-2014 08:09:01,0 - 6.5,0.000500,Good
03-06-2014 09:54:01,0,0.001400,Good
