Date,Depth,Data,QC
24-01-1995 12:00:01,0,8.000000,Good
30-07-1996 08:30:01,1,10.000000,Good
06-08-1996 00:00:01,1,9.600000,Good
13-08-1996 08:03:00,0,8.200000,Good
13-08-1996 08:03:01,1,8.400000,Good
13-08-1996 08:03:02,4.5,3.300000,Good
21-08-1996 08:02:00,0,10.000000,Good
21-08-1996 08:02:01,1,10.000000,Good
21-08-1996 08:02:02,4.5,5.100000,Good
27-08-1996 08:15:00,0,9.400000,Good
27-08-1996 08:15:01,1,5.200000,Good
27-08-1996 08:15:02,3.5,0.400000,Good
04-09-1996 08:05:00,0,5.300000,Good
04-09-1996 08:05:01,1,6.000000,Good
04-09-1996 08:05:02,4.5,2.400000,Good
10-09-1996 08:27:00,0,4.300000,Good
10-09-1996 08:27:01,1,3.100000,Good
10-09-1996 08:27:02,4.5,3.100000,Good
18-09-1996 08:10:00,0,7.700000,Good
18-09-1996 08:10:01,1,7.900000,Good
18-09-1996 08:10:02,4.5,4.700000,Good
24-09-1996 08:00:00,0 - 0.5,7.900000,Good
24-09-1996 08:00:01,1,8.500000,Good
24-09-1996 08:00:02,4.5,4.900000,Good
01-10-1996 08:10:00,0 - 0.5,6.200000,Good
01-10-1996 08:10:01,1,6.200000,Good
01-10-1996 08:10:02,3.5,3.400000,Good
08-10-1996 08:00:00,0 - 0.5,6.400000,Good
08-10-1996 08:00:01,1,6.000000,Good
08-10-1996 08:00:02,4.5,3.400000,Good
15-10-1996 08:08:00,0 - 0.5,5.600000,Good
15-10-1996 08:08:01,1,5.800000,Good
15-10-1996 08:08:02,4.5,3.300000,Good
22-10-1996 08:13:00,0 - 0.5,4.200000,Good
22-10-1996 08:13:01,1,4.000000,Good
22-10-1996 08:13:02,4,3.000000,Good
29-10-1996 08:05:00,0 - 0.5,4.000000,Good
29-10-1996 08:05:01,1,4.000000,Good
29-10-1996 08:05:02,4.5,3.300000,Good
05-11-1996 07:50:00,0 - 0.5,3.200000,Good
05-11-1996 07:50:01,1,4.700000,Good
05-11-1996 07:50:02,3.5,4.600000,Good
12-11-1996 08:13:00,0 - 0.5,7.000000,Good
12-11-1996 08:13:01,1,6.800000,Good
12-11-1996 08:13:02,4.5,4.200000,Good
19-11-1996 08:13:00,0,6.200000,Good
19-11-1996 08:13:01,1,6.500000,Good
19-11-1996 08:13:02,4.5,4.000000,Good
27-11-1996 08:13:00,0 - 0.5,5.900000,Good
27-11-1996 08:13:01,1,5.800000,Good
27-11-1996 08:13:02,4.5,3.700000,Good
03-12-1996 07:45:00,0 - 0.5,5.300000,Good
03-12-1996 07:45:01,1,5.300000,Good
03-12-1996 07:45:02,4.5,4.600000,Good
10-11-1997 08:00:00,0 - 0.5,1.900000,Good
10-11-1997 08:00:02,4.5,2.300000,Good
15-08-2005 09:15:00,0,2.800000,Good
11-08-2008 09:50:01,0,4.800000,Good
11-08-2008 10:01:00,4.2,1.900000,Good
18-08-2008 10:06:01,0,4.100000,Good
25-08-2008 09:07:01,0,1.800000,Good
01-09-2008 10:26:01,0,2.200000,Good
01-09-2008 10:36:00,4,1.800000,Good
08-09-2008 09:21:01,0,0.940000,Good
08-09-2008 09:26:00,4,1.300000,Good
15-09-2008 10:44:01,0,1.000000,Good
15-09-2008 10:53:00,4.5,1.500000,Good
22-09-2008 09:16:02,0,1.500000,Good
22-09-2008 09:21:00,4,1.200000,Good
30-09-2008 09:10:01,0,1.600000,Good
30-09-2008 09:17:00,4,1.300000,Good
06-10-2008 10:36:01,0,2.100000,Good
06-10-2008 10:46:00,4.5,1.800000,Good
13-10-2008 08:57:01,0,1.700000,Good
13-10-2008 09:03:00,4,1.400000,Good
20-10-2008 09:26:01,0,1.300000,Good
20-10-2008 09:32:00,3.8,1.200000,Good
27-10-2008 09:53:01,0,1.200000,Good
27-10-2008 10:01:00,4,1.300000,Good
03-11-2008 08:33:01,0,1.500000,Good
03-11-2008 08:38:00,4,1.300000,Good
12-11-2008 08:20:01,0,1.800000,Good
12-11-2008 08:33:00,4.5,1.500000,Good
17-11-2008 08:37:01,0,1.700000,Good
17-11-2008 08:41:00,3.5,1.400000,Good
24-11-2008 08:38:01,0,1.100000,Good
24-11-2008 08:46:00,4.3,0.620000,Good
02-12-2008 08:10:01,0,0.960000,Good
02-12-2008 08:14:00,4,0.710000,Good
08-12-2008 08:14:00,0,1.200000,Good
08-12-2008 08:29:00,3.5,0.810000,Good
15-12-2008 08:14:01,0,1.200000,Good
15-12-2008 08:20:00,4.1,0.910000,Good
22-12-2008 08:26:01,0,1.600000,Good
22-12-2008 08:34:00,3.8,0.990000,Good
29-12-2008 10:18:01,0,1.600000,Good
29-12-2008 10:25:00,3.5,1.100000,Good
05-01-2009 09:53:01,0,1.400000,Good
05-01-2009 10:03:00,4,1.000000,Good
12-01-2009 08:57:01,0,1.600000,Good
12-01-2009 09:03:00,3.8,1.400000,Good
19-01-2009 08:28:01,0,1.800000,Good
19-01-2009 08:32:00,4,1.800000,Good
27-01-2009 09:14:00,0,1.900000,Good
27-01-2009 09:19:00,4,1.700000,Good
02-02-2009 09:09:01,0,2.100000,Good
02-02-2009 09:13:00,4,1.400000,Good
