Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6160263_Total_Nitrogen_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,   NaN
Long,   NaN
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160263
Site Description,6160263
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),9195.8173
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Total Nitrogen (mg/L),Decimal
QC,String
