Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,616087_Min_Stage_Height_CTF_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-31.948282966
Long,115.919319382
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616087
Site Description,616087
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),1440.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Min Stage Height CTF (m),Decimal
QC,String
