Date,Depth,Data,QC
04-01-2010 09:49:00,0,0.650000,Good
04-01-2010 09:51:00,2.5,0.650000,Good
11-01-2010 09:36:00,0,0.650000,Good
11-01-2010 09:40:00,2,0.700000,Good
18-01-2010 08:55:00,0,0.670000,Good
18-01-2010 08:58:00,1.6,0.650000,Good
25-01-2010 09:19:00,0,0.670000,Good
25-01-2010 09:22:00,1.5,0.690000,Good
01-02-2010 09:29:00,0,0.610000,Good
01-02-2010 09:29:01,2.5,0.600000,Good
08-02-2010 09:28:00,0,0.680000,Good
08-02-2010 09:31:00,2,0.710000,Good
15-02-2010 09:17:01,0,0.660000,Good
15-02-2010 09:20:00,2,0.660000,Good
22-02-2010 09:45:00,0,0.740000,Good
22-02-2010 09:45:01,2,0.770000,Good
02-03-2010 09:36:00,0,1.200000,Good
02-03-2010 09:39:00,1.5,0.800000,Good
08-03-2010 09:19:00,0,1.600000,Good
08-03-2010 09:21:00,2,1.100000,Good
15-03-2010 09:16:00,0,1.700000,Good
15-03-2010 09:19:00,2.5,0.900000,Good
22-03-2010 09:27:00,0,2.400000,Good
22-03-2010 09:27:01,2.5,1.100000,Good
29-03-2010 09:25:00,0,1.200000,Good
29-03-2010 09:29:00,2.5,1.200000,Good
05-04-2010 11:11:00,0,3.000000,Good
05-04-2010 11:11:01,2.5,2.800000,Good
12-04-2010 09:36:00,0,2.200000,Good
12-04-2010 09:41:00,2.5,1.800000,Good
19-04-2010 09:23:00,0,1.600000,Good
19-04-2010 09:27:00,2,1.700000,Good
27-04-2010 09:57:00,0,1.700000,Good
27-04-2010 10:02:00,2,1.700000,Good
03-05-2010 09:42:00,0,1.200000,Good
03-05-2010 09:47:00,2.5,1.200000,Good
10-05-2010 09:31:00,0,1.200000,Good
10-05-2010 09:34:00,2.5,1.100000,Good
17-05-2010 09:40:00,0,1.400000,Good
17-05-2010 09:40:01,2.5,1.100000,Good
24-05-2010 09:40:00,0,0.900000,Good
24-05-2010 09:44:00,2,0.970000,Good
31-05-2010 09:50:00,0,1.000000,Good
31-05-2010 09:58:00,2.7,0.940000,Good
08-06-2010 09:49:00,0,1.100000,Good
08-06-2010 09:51:00,2,0.700000,Good
14-06-2010 09:35:00,0,1.100000,Good
14-06-2010 09:40:00,3,0.930000,Good
21-06-2010 00:09:00,1.8,0.730000,Good
21-06-2010 09:46:00,0,0.710000,Good
28-06-2010 09:40:00,0,1.100000,Good
28-06-2010 09:40:01,2.5,0.930000,Good
05-07-2010 10:08:00,0,0.980000,Good
05-07-2010 10:14:00,1.9,0.830000,Good
19-07-2010 09:50:00,0,0.970000,Good
19-07-2010 09:52:00,2,0.970000,Good
02-08-2010 09:22:00,0,0.720000,Good
02-08-2010 09:24:00,1.6,0.700000,Good
16-08-2010 09:20:00,0,0.820000,Good
16-08-2010 09:24:00,2.1,0.830000,Good
30-08-2010 09:50:00,0,0.660000,Good
30-08-2010 09:54:00,2.5,0.700000,Good
13-09-2010 09:44:00,0,0.660000,Good
13-09-2010 09:48:00,2.5,0.720000,Good
28-09-2010 09:32:00,0,0.720000,Good
