Date,Depth,Data,QC
26-05-1997 13:16:01,1,12.000000,Good
03-06-1997 10:20:01,1,13.000000,Good
09-06-1997 13:30:01,1,10.000000,Good
16-06-1997 13:53:01,1,10.000000,Good
23-06-1997 13:29:10,1,47.000000,Good
30-06-1997 13:50:01,1,39.000000,Good
09-07-1997 13:45:38,0.92,39.000000,Good
14-07-1997 12:35:01,1,50.000000,Good
21-07-1997 13:47:49,0.27,36.000000,Good
28-07-1997 12:55:00,0 - 0.5,23.000000,Good
04-08-1997 13:42:23,0.09,39.000000,Good
14-08-1997 12:50:00,0 - 0.5,19.000000,Good
18-08-1997 13:36:57,0.08,27.000000,Good
25-08-1997 13:04:11,0.01,28.000000,Good
01-09-1997 12:41:23,0.05,30.000000,Good
08-09-1997 13:13:14,0.11,38.000000,Good
15-09-1997 12:20:15,0.3,37.000000,Good
22-09-1997 13:22:22,0.1,33.000000,Good
01-10-1997 13:20:22,0.09,38.000000,Good
06-10-1997 14:12:22,0.1,49.000000,Good
13-10-1997 10:17:02,0.23,21.000000,Good
20-10-1997 13:27:14,0.03,38.000000,Good
29-10-1997 11:50:41,0.09,47.000000,Good
03-11-1997 14:01:27,0.02,40.000000,Good
10-11-1997 12:05:00,0 - 0.5,14.000000,Good
17-11-1997 13:22:00,0 - 0.5,17.000000,Good
24-11-1997 14:00:00,0 - 0.5,1.600000,Good
01-12-1997 13:43:00,0 - 0.5,6.700000,Good
08-12-1997 13:15:00,0 - 0.5,6.700000,Good
15-12-1997 13:45:00,0 - 0.5,5.600000,Good
22-12-1997 13:16:00,0 - 0.5,5.800000,Good
29-12-1997 13:39:00,0 - 0.5,6.400000,Good
05-01-1998 13:18:00,0 - 0.5,7.200000,Good
12-01-1998 13:10:00,0 - 0.5,11.000000,Good
19-01-1998 13:41:00,0 - 0.5,7.200000,Good
28-01-1998 13:12:00,0 - 0.5,6.700000,Good
02-02-1998 12:00:00,0 - 0.5,7.500000,Good
09-02-1998 12:45:00,0 - 0.5,7.400000,Good
16-02-1998 13:22:00,0 - 0.5,8.000000,Good
23-02-1998 12:42:00,0 - 0.5,9.300000,Good
04-03-1998 13:30:00,0 - 0.5,9.000000,Good
09-03-1998 13:40:00,0 - 0.5,7.700000,Good
16-03-1998 11:45:00,0 - 0.5,11.000000,Good
23-03-1998 12:20:00,0 - 0.5,9.400000,Good
30-03-1998 12:55:00,0 - 0.5,12.000000,Good
07-04-1998 13:35:00,0 - 0.5,11.000000,Good
15-04-1998 11:36:00,0 - 0.5,9.800000,Good
20-04-1998 14:10:00,0 - 0.5,9.600000,Good
29-04-1998 13:17:00,0 - 0.5,2.800000,Good
