Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6161892_Secchi_depth_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-32.019964176
Long,115.927743642
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6161892
Site Description,6161892
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),44019.6330
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Secchi depth (m),Decimal
QC,String
