Date,Depth,Data,QC
16-04-2002 14:05:00,0 - 0.5,0.110000,Good
20-12-2002 10:28:00,5,0.670000,Good
09-01-2003 14:05:00,4,0.950000,Good
31-01-2003 11:10:00,5,0.140000,Good
19-03-2003 11:12:00,5,0.340000,Good
21-01-2004 14:41:01,5,0.350000,Good
03-02-2004 13:04:01,5.5,0.027000,Good
10-02-2004 12:10:00,6,0.016000,Good
17-02-2004 13:05:00,5.5,0.420000,Good
24-02-2004 14:20:01,6,0.290000,Good
02-03-2004 13:30:01,5.5,0.100000,Good
17-02-2010 11:15:00,0.1,0.015000,Good
17-02-2010 11:15:02,4.5,0.220000,Good
19-02-2010 10:30:00,0.1,0.066000,Good
19-02-2010 10:30:01,3.8,0.031000,Good
26-02-2010 10:10:00,0.5,0.015000,Good
26-02-2010 10:10:01,5.2,0.052000,Good
05-03-2010 09:58:00,0,0.012000,Good
05-03-2010 09:58:01,4.5,0.031000,Good
11-10-2011 11:51:00,0,0.038000,Good
11-10-2011 12:19:00,5.8,0.040000,Good
25-10-2011 11:51:00,0,0.048000,Good
25-10-2011 11:58:00,4.9,0.051000,Good
08-11-2011 11:53:00,0,0.033000,Good
08-11-2011 12:00:00,5.5,0.029000,Good
22-11-2011 11:32:00,0,0.042000,Good
22-11-2011 11:38:00,4.5,0.068000,Good
20-12-2011 11:54:00,0,0.066000,Good
20-12-2011 12:00:00,5.3,0.100000,Good
04-01-2012 11:48:00,0,0.062000,Good
04-01-2012 11:54:00,5,0.046000,Good
17-01-2012 12:22:00,0,0.051000,Good
17-01-2012 12:30:00,5.5,0.025000,Good
31-01-2012 12:04:00,0,0.045000,Good
31-01-2012 12:13:00,4.5,0.100000,Good
14-02-2012 12:13:00,0,0.042000,Good
14-02-2012 12:23:00,5.5,0.110000,Good
28-02-2012 12:19:00,0,0.029000,Good
28-02-2012 12:31:00,5.5,0.170000,Good
13-03-2012 11:26:00,0,0.037000,Good
13-03-2012 11:31:00,4.5,0.990000,Good
27-03-2012 11:56:00,0,0.022000,Good
27-03-2012 12:02:00,4.1,0.240000,Good
11-04-2012 11:17:00,0,0.047000,Good
11-04-2012 11:22:00,4.5,0.360000,Good
24-04-2012 11:50:00,0,0.640000,Good
06-05-2012 11:51:00,0,0.061000,Good
06-05-2012 11:59:01,5.5,1.400000,Good
08-05-2012 11:56:02,0,0.058000,Good
08-05-2012 12:02:00,5,0.890000,Good
22-05-2012 12:22:00,0,0.048000,Good
22-05-2012 12:29:00,5.1,1.100000,Good
19-06-2012 11:31:01,0,0.033000,Good
19-06-2012 11:35:00,5.3,0.580000,Good
03-07-2012 11:30:00,0,0.029000,Good
03-07-2012 11:38:00,5.5,0.670000,Good
