#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: HLHIL01_01_1992
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19920101 TO 19921231
#LOCATION: Hillarys
#Station Status:  Historical
#Lat: -31.825535  Long: 115.738578
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart Datum     which is   4.895   m below Benchmark   Hamersley   
#National Station ID:   NA
#Site Description: NA
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00059,19920101.0000/
00061,19920101.0015/
00055,19920101.0030/
00048,19920101.0045/
00047,19920101.0100/
00049,19920101.0115/
00043,19920101.0130/
00044,19920101.0145/
00035,19920101.0200/
00034,19920101.0215/
00035,19920101.0230/
00043,19920101.0245/
00038,19920101.0300/
00031,19920101.0315/
00030,19920101.0330/
00029,19920101.0345/
00023,19920101.0400/
00027,19920101.0415/
00032,19920101.0430/
00030,19920101.0445/
00028,19920101.0500/
00030,19920101.0515/
00029,19920101.0530/
00025,19920101.0545/
00034,19920101.0600/
00032,19920101.0615/
00031,19920101.0630/
00033,19920101.0645/
00034,19920101.0700/
00031,19920101.0715/
00033,19920101.0730/
00033,19920101.0745/
00034,19920101.0800/
00038,19920101.0815/
00036,19920101.0830/
00034,19920101.0845/
00038,19920101.0900/
00042,19920101.0915/
00044,19920101.0930/
00049,19920101.0945/
00049,19920101.1000/
00045,19920101.1015/
00045,19920101.1030/
00047,19920101.1045/
00048,19920101.1100/
00052,19920101.1115/
00054,19920101.1130/
00056,19920101.1145/
00057,19920101.1200/
00058,19920101.1215/
00055,19920101.1230/
00061,19920101.1245/
00062,19920101.1300/
00061,19920101.1315/
00066,19920101.1330/
00069,19920101.1345/
00067,19920101.1400/
00071,19920101.1415/
00071,19920101.1430/
00071,19920101.1445/
00073,19920101.1500/
00076,19920101.1515/
00073,19920101.1530/
00078,19920101.1545/
00080,19920101.1600/
00081,19920101.1615/
00084,19920101.1630/
00084,19920101.1645/
00085,19920101.1700/
00084,19920101.1715/
00087,19920101.1730/
00089,19920101.1745/
00088,19920101.1800/
00089,19920101.1815/
00091,19920101.1830/
00094,19920101.1845/
00095,19920101.1900/
00091,19920101.1915/
00090,19920101.1930/
00093,19920101.1945/
00091,19920101.2000/
00091,19920101.2015/
00091,19920101.2030/
00084,19920101.2045/
00085,19920101.2100/
00084,19920101.2115/
00080,19920101.2130/
00079,19920101.2145/
00076,19920101.2200/
00071,19920101.2215/
00070,19920101.2230/
00067,19920101.2245/
00063,19920101.2300/
00061,19920101.2315/
00061,19920101.2330/
00060,19920101.2345/
00058,19920102.0000/
00054,19920102.0015/
00050,19920102.0030/
00047,19920102.0045/
00042,19920102.0100/
00039,19920102.0115/
00037,19920102.0130/
00035,19920102.0145/
00033,19920102.0200/
00032,19920102.0215/
00031,19920102.0230/
00027,19920102.0245/
00024,19920102.0300/
00024,19920102.0315/
00021,19920102.0330/
00022,19920102.0345/
00019,19920102.0400/
00019,19920102.0415/
00019,19920102.0430/
00019,19920102.0445/
00020,19920102.0500/
00017,19920102.0515/
00018,19920102.0530/
00018,19920102.0545/
00017,19920102.0600/
00020,19920102.0615/
00019,19920102.0630/
00021,19920102.0645/
00023,19920102.0700/
00026,19920102.0715/
00026,19920102.0730/
00026,19920102.0745/
00023,19920102.0800/
00025,19920102.0815/
00027,19920102.0830/
00028,19920102.0845/
00030,19920102.0900/
00032,19920102.0915/
00036,19920102.0930/
00037,19920102.0945/
00038,19920102.1000/
00039,19920102.1015/
00041,19920102.1030/
00039,19920102.1045/
00038,19920102.1100/
00040,19920102.1115/
00041,19920102.1130/
00042,19920102.1145/
00042,19920102.1200/
00044,19920102.1215/
00047,19920102.1230/
00048,19920102.1245/
00052,19920102.1300/
00053,19920102.1315/
00052,19920102.1330/
00054,19920102.1345/
00056,19920102.1400/
00055,19920102.1415/
00057,19920102.1430/
00059,19920102.1445/
00061,19920102.1500/
00062,19920102.1515/
00065,19920102.1530/
00068,19920102.1545/
00070,19920102.1600/
00070,19920102.1615/
00073,19920102.1630/
00076,19920102.1645/
00076,19920102.1700/
00078,19920102.1715/
00080,19920102.1730/
00083,19920102.1745/
00083,19920102.1800/
00085,19920102.1815/
00086,19920102.1830/
00086,19920102.1845/
00087,19920102.1900/
00088,19920102.1915/
00087,19920102.1930/
00086,19920102.1945/
00088,19920102.2000/
00086,19920102.2015/
00086,19920102.2030/
00084,19920102.2045/
00083,19920102.2100/
00081,19920102.2115/
00080,19920102.2130/
00079,19920102.2145/
00077,19920102.2200/
00074,19920102.2215/
00069,19920102.2230/
00066,19920102.2245/
00064,19920102.2300/
00063,19920102.2315/
00061,19920102.2330/
00058,19920102.2345/
00055,19920103.0000/
00052,19920103.0015/
00050,19920103.0030/
00046,19920103.0045/
00045,19920103.0100/
00040,19920103.0115/
00036,19920103.0130/
00033,19920103.0145/
00032,19920103.0200/
00026,19920103.0215/
00026,19920103.0230/
00025,19920103.0245/
00023,19920103.0300/
00019,19920103.0315/
00019,19920103.0330/
00016,19920103.0345/
00015,19920103.0400/
00013,19920103.0415/
00012,19920103.0430/
00013,19920103.0445/
00014,19920103.0500/
00012,19920103.0515/
00012,19920103.0530/
00012,19920103.0545/
00012,19920103.0600/
00014,19920103.0615/
00014,19920103.0630/
00015,19920103.0645/
00016,19920103.0700/
00018,19920103.0715/
00016,19920103.0730/
00018,19920103.0745/
00020,19920103.0800/
00020,19920103.0815/
00023,19920103.0830/
00025,19920103.0845/
00028,19920103.0900/
00027,19920103.0915/
00031,19920103.0930/
00034,19920103.0945/
00037,19920103.1000/
00035,19920103.1015/
00037,19920103.1030/
00036,19920103.1045/
00036,19920103.1100/
00038,19920103.1115/
00039,19920103.1130/
00041,19920103.1145/
00042,19920103.1200/
00044,19920103.1215/
00043,19920103.1230/
00044,19920103.1245/
00043,19920103.1300/
00045,19920103.1315/
00044,19920103.1330/
00046,19920103.1345/
00051,19920103.1400/
00053,19920103.1415/
00056,19920103.1430/
00057,19920103.1445/
00058,19920103.1500/
00059,19920103.1515/
00062,19920103.1530/
00063,19920103.1545/
00066,19920103.1600/
00069,19920103.1615/
00070,19920103.1630/
00074,19920103.1645/
00074,19920103.1700/
00076,19920103.1715/
