#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: PTBAR02_04_2012
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20120101 TO 20120730
#LOCATION: Barrack Street 02
#Station Status:  Updated
#Lat: -31.959694  Long: 115.85725
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle     which is   1.994   m below Benchmark   SSM City 47   
#National Station ID:   NA
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00105,20120101.0000/
00105,20120101.0005/
00105,20120101.0010/
00105,20120101.0015/
00104,20120101.0020/
00105,20120101.0025/
00104,20120101.0030/
00104,20120101.0035/
00104,20120101.0040/
00104,20120101.0045/
00104,20120101.0050/
00103,20120101.0055/
00103,20120101.0100/
00103,20120101.0105/
00103,20120101.0110/
00102,20120101.0115/
00102,20120101.0120/
00101,20120101.0125/
00101,20120101.0130/
00101,20120101.0135/
00100,20120101.0140/
00100,20120101.0145/
00099,20120101.0150/
00099,20120101.0155/
00099,20120101.0200/
00098,20120101.0205/
00098,20120101.0210/
00098,20120101.0215/
00097,20120101.0220/
00097,20120101.0225/
00097,20120101.0230/
00097,20120101.0235/
00096,20120101.0240/
00096,20120101.0245/
00096,20120101.0250/
00096,20120101.0255/
00095,20120101.0300/
00095,20120101.0305/
00095,20120101.0310/
00095,20120101.0315/
00095,20120101.0320/
00095,20120101.0325/
00094,20120101.0330/
00094,20120101.0335/
00094,20120101.0340/
00094,20120101.0345/
00093,20120101.0350/
00093,20120101.0355/
00092,20120101.0400/
00092,20120101.0405/
00092,20120101.0410/
00091,20120101.0415/
00091,20120101.0420/
00090,20120101.0425/
00090,20120101.0430/
00090,20120101.0435/
00089,20120101.0440/
00089,20120101.0445/
00088,20120101.0450/
00088,20120101.0455/
00087,20120101.0500/
00087,20120101.0505/
00087,20120101.0510/
00087,20120101.0515/
00087,20120101.0520/
00086,20120101.0525/
00086,20120101.0530/
00086,20120101.0535/
00085,20120101.0540/
00085,20120101.0545/
00084,20120101.0550/
00084,20120101.0555/
00084,20120101.0600/
00084,20120101.0605/
00083,20120101.0610/
00083,20120101.0615/
00083,20120101.0620/
00082,20120101.0625/
00082,20120101.0630/
00081,20120101.0635/
00081,20120101.0640/
00081,20120101.0645/
00080,20120101.0650/
00080,20120101.0655/
00079,20120101.0700/
00079,20120101.0705/
00079,20120101.0710/
00078,20120101.0715/
00078,20120101.0720/
00078,20120101.0725/
00077,20120101.0730/
00077,20120101.0735/
00077,20120101.0740/
00076,20120101.0745/
00076,20120101.0750/
00076,20120101.0755/
00076,20120101.0800/
00075,20120101.0805/
00075,20120101.0810/
00075,20120101.0815/
00075,20120101.0820/
00075,20120101.0825/
00075,20120101.0830/
00075,20120101.0835/
00075,20120101.0840/
00074,20120101.0845/
00074,20120101.0850/
00074,20120101.0855/
00074,20120101.0900/
00074,20120101.0905/
00074,20120101.0910/
00075,20120101.0915/
00074,20120101.0920/
00074,20120101.0925/
00075,20120101.0930/
00075,20120101.0935/
00076,20120101.0940/
00076,20120101.0945/
00076,20120101.0950/
00076,20120101.0955/
00077,20120101.1000/
00077,20120101.1005/
00078,20120101.1010/
00079,20120101.1015/
00079,20120101.1020/
00079,20120101.1025/
00080,20120101.1030/
00080,20120101.1035/
00081,20120101.1040/
00081,20120101.1045/
00082,20120101.1050/
00082,20120101.1055/
00082,20120101.1100/
00083,20120101.1105/
00083,20120101.1110/
00083,20120101.1115/
00084,20120101.1120/
00084,20120101.1125/
00084,20120101.1130/
00084,20120101.1135/
00085,20120101.1140/
00085,20120101.1145/
00085,20120101.1150/
00085,20120101.1155/
00086,20120101.1200/
00086,20120101.1205/
00086,20120101.1210/
00087,20120101.1215/
00087,20120101.1220/
00088,20120101.1225/
00088,20120101.1230/
00089,20120101.1235/
00089,20120101.1240/
00090,20120101.1245/
00090,20120101.1250/
00091,20120101.1255/
00091,20120101.1300/
00092,20120101.1305/
00092,20120101.1310/
00092,20120101.1315/
00092,20120101.1320/
00093,20120101.1325/
00094,20120101.1330/
00094,20120101.1335/
00094,20120101.1340/
00095,20120101.1345/
00095,20120101.1350/
00095,20120101.1355/
00095,20120101.1400/
00095,20120101.1405/
00095,20120101.1410/
00095,20120101.1415/
00096,20120101.1420/
00096,20120101.1425/
00096,20120101.1430/
00096,20120101.1435/
00096,20120101.1440/
00097,20120101.1445/
00097,20120101.1450/
00097,20120101.1455/
00097,20120101.1500/
00098,20120101.1505/
00098,20120101.1510/
00099,20120101.1515/
00099,20120101.1520/
00099,20120101.1525/
00100,20120101.1530/
00100,20120101.1535/
00101,20120101.1540/
00101,20120101.1545/
00101,20120101.1550/
00102,20120101.1555/
00102,20120101.1600/
00103,20120101.1605/
00104,20120101.1610/
00104,20120101.1615/
00104,20120101.1620/
00104,20120101.1625/
00104,20120101.1630/
00105,20120101.1635/
00105,20120101.1640/
00105,20120101.1645/
00105,20120101.1650/
00105,20120101.1655/
00105,20120101.1700/
00105,20120101.1705/
00106,20120101.1710/
00106,20120101.1715/
00106,20120101.1720/
00106,20120101.1725/
00106,20120101.1730/
00106,20120101.1735/
00106,20120101.1740/
00107,20120101.1745/
00107,20120101.1750/
00107,20120101.1755/
00107,20120101.1800/
00107,20120101.1805/
00107,20120101.1810/
00107,20120101.1815/
00107,20120101.1820/
00107,20120101.1825/
00107,20120101.1830/
00107,20120101.1835/
00107,20120101.1840/
00107,20120101.1845/
00107,20120101.1850/
00108,20120101.1855/
00108,20120101.1900/
00108,20120101.1905/
00107,20120101.1910/
00107,20120101.1915/
00107,20120101.1920/
00106,20120101.1925/
00107,20120101.1930/
00107,20120101.1935/
00107,20120101.1940/
00106,20120101.1945/
00106,20120101.1950/
00107,20120101.1955/
00106,20120101.2000/
00106,20120101.2005/
00106,20120101.2010/
00105,20120101.2015/
00105,20120101.2020/
00105,20120101.2025/
00105,20120101.2030/
00105,20120101.2035/
00105,20120101.2040/
00104,20120101.2045/
00104,20120101.2050/
00104,20120101.2055/
00103,20120101.2100/
00103,20120101.2105/
00103,20120101.2110/
00103,20120101.2115/
00102,20120101.2120/
00102,20120101.2125/
00102,20120101.2130/
00102,20120101.2135/
00102,20120101.2140/
00102,20120101.2145/
00101,20120101.2150/
00101,20120101.2155/
00101,20120101.2200/
00101,20120101.2205/
00101,20120101.2210/
00100,20120101.2215/
00100,20120101.2220/
00100,20120101.2225/
00100,20120101.2230/
00099,20120101.2235/
00099,20120101.2240/
00098,20120101.2245/
00097,20120101.2250/
00097,20120101.2255/
00096,20120101.2300/
00096,20120101.2305/
00096,20120101.2310/
00096,20120101.2315/
00095,20120101.2320/
00095,20120101.2325/
00095,20120101.2330/
00094,20120101.2335/
00094,20120101.2340/
00094,20120101.2345/
00093,20120101.2350/
00093,20120101.2355/
00093,20120102.0000/
00093,20120102.0005/
00093,20120102.0010/
00093,20120102.0015/
00092,20120102.0020/
00092,20120102.0025/
00092,20120102.0030/
00092,20120102.0035/
00091,20120102.0040/
00091,20120102.0045/
00091,20120102.0050/
00090,20120102.0055/
00090,20120102.0100/
00090,20120102.0105/
00090,20120102.0110/
00089,20120102.0115/
00089,20120102.0120/
00089,20120102.0125/
00088,20120102.0130/
00088,20120102.0135/
00088,20120102.0140/
00087,20120102.0145/
00087,20120102.0150/
00087,20120102.0155/
00086,20120102.0200/
00086,20120102.0205/
00086,20120102.0210/
00086,20120102.0215/
00085,20120102.0220/
00085,20120102.0225/
00085,20120102.0230/
00085,20120102.0235/
00084,20120102.0240/
00084,20120102.0245/
00084,20120102.0250/
00084,20120102.0255/
00084,20120102.0300/
00084,20120102.0305/
00084,20120102.0310/
00084,20120102.0315/
00083,20120102.0320/
00083,20120102.0325/
00083,20120102.0330/
00083,20120102.0335/
00083,20120102.0340/
00083,20120102.0345/
00082,20120102.0350/
00082,20120102.0355/
00081,20120102.0400/
00080,20120102.0405/
00080,20120102.0410/
00079,20120102.0415/
00079,20120102.0420/
00078,20120102.0425/
00078,20120102.0430/
00078,20120102.0435/
00077,20120102.0440/
00077,20120102.0445/
00077,20120102.0450/
00077,20120102.0455/
00076,20120102.0500/
00076,20120102.0505/
00076,20120102.0510/
00076,20120102.0515/
00076,20120102.0520/
00076,20120102.0525/
00076,20120102.0530/
00075,20120102.0535/
00075,20120102.0540/
00075,20120102.0545/
00075,20120102.0550/
00075,20120102.0555/
00075,20120102.0600/
00075,20120102.0605/
00074,20120102.0610/
00074,20120102.0615/
00074,20120102.0620/
00074,20120102.0625/
00074,20120102.0630/
00073,20120102.0635/
00073,20120102.0640/
00073,20120102.0645/
00073,20120102.0650/
00072,20120102.0655/
00072,20120102.0700/
