#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: RKMGL01_02_2003
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20030731 TO 20031231
#LOCATION: Mangles Bay
#Station Status:  Historical
#Lat: -32.274444  Long: 115.703333
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.527   m below Benchmark   DMH 073   
#National Station ID:   NA
#Site Description: Located on a Historical (Temporary) platform within  the mooring area. Roughly 50 metres off shore and in line with the yacht club fence. Accessible by boat.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00099,20030731.1100/
00100,20030731.1105/
00100,20030731.1110/
00100,20030731.1115/
00100,20030731.1120/
00100,20030731.1125/
00100,20030731.1130/
00100,20030731.1135/
00100,20030731.1140/
00100,20030731.1145/
00100,20030731.1150/
00100,20030731.1155/
00100,20030731.1200/
00100,20030731.1205/
00101,20030731.1210/
00101,20030731.1215/
00101,20030731.1220/
00100,20030731.1225/
00100,20030731.1230/
00100,20030731.1235/
00099,20030731.1240/
00099,20030731.1245/
00098,20030731.1250/
00098,20030731.1255/
00097,20030731.1300/
00096,20030731.1305/
00096,20030731.1310/
00094,20030731.1315/
00093,20030731.1320/
00093,20030731.1325/
00092,20030731.1330/
00092,20030731.1335/
00091,20030731.1340/
00091,20030731.1345/
00090,20030731.1350/
00089,20030731.1355/
00089,20030731.1400/
00088,20030731.1405/
00088,20030731.1410/
00087,20030731.1415/
00086,20030731.1420/
00085,20030731.1425/
00084,20030731.1430/
00083,20030731.1435/
00082,20030731.1440/
00081,20030731.1445/
00081,20030731.1450/
00080,20030731.1455/
00079,20030731.1500/
00078,20030731.1505/
00076,20030731.1510/
00075,20030731.1515/
00074,20030731.1520/
00073,20030731.1525/
00071,20030731.1530/
00071,20030731.1535/
00070,20030731.1540/
00069,20030731.1545/
00069,20030731.1550/
00068,20030731.1555/
00067,20030731.1600/
00067,20030731.1605/
00066,20030731.1610/
00066,20030731.1615/
00065,20030731.1620/
00065,20030731.1625/
00064,20030731.1630/
00063,20030731.1635/
00062,20030731.1640/
00061,20030731.1645/
00060,20030731.1650/
00059,20030731.1655/
00058,20030731.1700/
00057,20030731.1705/
00056,20030731.1710/
00055,20030731.1715/
00054,20030731.1720/
00054,20030731.1725/
00053,20030731.1730/
00052,20030731.1735/
00052,20030731.1740/
00052,20030731.1745/
00052,20030731.1750/
00051,20030731.1755/
00051,20030731.1800/
00051,20030731.1805/
00051,20030731.1810/
00050,20030731.1815/
00050,20030731.1820/
00050,20030731.1825/
00050,20030731.1830/
00050,20030731.1835/
00050,20030731.1840/
00049,20030731.1845/
00049,20030731.1850/
00049,20030731.1855/
00048,20030731.1900/
00048,20030731.1905/
00048,20030731.1910/
00048,20030731.1915/
00048,20030731.1920/
00047,20030731.1925/
00047,20030731.1930/
00046,20030731.1935/
00046,20030731.1940/
00046,20030731.1945/
00046,20030731.1950/
00046,20030731.1955/
00046,20030731.2000/
00046,20030731.2005/
00046,20030731.2010/
00046,20030731.2015/
00046,20030731.2020/
00046,20030731.2025/
00046,20030731.2030/
00046,20030731.2035/
00046,20030731.2040/
00046,20030731.2045/
00047,20030731.2050/
00047,20030731.2055/
00047,20030731.2100/
00048,20030731.2105/
00048,20030731.2110/
00048,20030731.2115/
00048,20030731.2120/
00049,20030731.2125/
00049,20030731.2130/
00050,20030731.2135/
00050,20030731.2140/
00050,20030731.2145/
00050,20030731.2150/
00051,20030731.2155/
00051,20030731.2200/
00051,20030731.2205/
00051,20030731.2210/
00051,20030731.2215/
00051,20030731.2220/
00052,20030731.2225/
00052,20030731.2230/
00052,20030731.2235/
00052,20030731.2240/
00052,20030731.2245/
00052,20030731.2250/
00053,20030731.2255/
00053,20030731.2300/
00053,20030731.2305/
00053,20030731.2310/
00054,20030731.2315/
00054,20030731.2320/
00054,20030731.2325/
00054,20030731.2330/
00054,20030731.2335/
00055,20030731.2340/
00055,20030731.2345/
00055,20030731.2350/
00056,20030731.2355/
00056,20030801.0000/
00056,20030801.0005/
00056,20030801.0010/
00057,20030801.0015/
00057,20030801.0020/
00057,20030801.0025/
00058,20030801.0030/
00058,20030801.0035/
00058,20030801.0040/
00059,20030801.0045/
00059,20030801.0050/
