#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_1989
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19890101 TO 19891231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status:  Updated
#Lat: -32.065556  Long: 115.748056
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098   
#National Station ID:   NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00081,19890101.0000/
00080,19890101.0015/
00078,19890101.0030/
00079,19890101.0045/
00079,19890101.0100/
00078,19890101.0115/
00078,19890101.0130/
00077,19890101.0145/
00076,19890101.0200/
00075,19890101.0215/
00071,19890101.0230/
00071,19890101.0245/
00071,19890101.0300/
00069,19890101.0315/
00067,19890101.0330/
00067,19890101.0345/
00069,19890101.0400/
00067,19890101.0415/
00067,19890101.0430/
00067,19890101.0445/
00067,19890101.0500/
00065,19890101.0515/
00061,19890101.0530/
00059,19890101.0545/
00060,19890101.0600/
00059,19890101.0615/
00061,19890101.0630/
00060,19890101.0645/
00060,19890101.0700/
00059,19890101.0715/
00059,19890101.0730/
00059,19890101.0745/
00059,19890101.0800/
00058,19890101.0815/
00058,19890101.0830/
00059,19890101.0845/
00060,19890101.0900/
00061,19890101.0915/
00063,19890101.0930/
00065,19890101.0945/
00067,19890101.1000/
00067,19890101.1015/
00069,19890101.1030/
00071,19890101.1045/
00070,19890101.1100/
00071,19890101.1115/
00072,19890101.1130/
00071,19890101.1145/
00072,19890101.1200/
00075,19890101.1215/
00074,19890101.1230/
00074,19890101.1245/
00078,19890101.1300/
00079,19890101.1315/
00080,19890101.1330/
00080,19890101.1345/
00079,19890101.1400/
00078,19890101.1415/
00079,19890101.1430/
00080,19890101.1445/
00082,19890101.1500/
00082,19890101.1515/
00084,19890101.1530/
00088,19890101.1545/
00087,19890101.1600/
00085,19890101.1615/
00086,19890101.1630/
00084,19890101.1645/
00082,19890101.1700/
00083,19890101.1715/
00085,19890101.1730/
00088,19890101.1745/
00087,19890101.1800/
00087,19890101.1815/
00087,19890101.1830/
00085,19890101.1845/
00082,19890101.1900/
00081,19890101.1915/
00081,19890101.1930/
00079,19890101.1945/
00077,19890101.2000/
00076,19890101.2015/
00075,19890101.2030/
00075,19890101.2045/
00073,19890101.2100/
00069,19890101.2115/
00065,19890101.2130/
00064,19890101.2145/
00064,19890101.2200/
00064,19890101.2215/
00062,19890101.2230/
00060,19890101.2245/
00057,19890101.2300/
00056,19890101.2315/
00056,19890101.2330/
00055,19890101.2345/
00053,19890102.0000/
00051,19890102.0015/
00051,19890102.0030/
00050,19890102.0045/
00049,19890102.0100/
00047,19890102.0115/
00047,19890102.0130/
00047,19890102.0145/
00048,19890102.0200/
00047,19890102.0215/
00045,19890102.0230/
00045,19890102.0245/
00044,19890102.0300/
00044,19890102.0315/
00042,19890102.0330/
00040,19890102.0345/
00039,19890102.0400/
00039,19890102.0415/
00039,19890102.0430/
00038,19890102.0445/
