Date,Depth,Max Discharge (m/s),QC,Mean Discharge (m/s),QC,Min Discharge (m/s),QC,Discharge (ML),QC,Max Stage Height CTF (m),QC,Mean Stage Height CTF (m),QC,Min Stage Height CTF (m),QC,Max Stage Height (m),QC,Mean Stage Height (m),QC,Min Stage Height (m),QC
01-01-2010 00:00:00,0.00,0.0260,N,0.0240,N,0.0230,N,2.0970,N,0.1660,N,0.1570,N,0.1500,N,10.1630,N,10.1540,N,10.1470,N
02-01-2010 00:00:00,0.00,0.0240,N,0.0220,N,0.0200,N,1.9040,N,0.1550,N,0.1470,N,0.1400,N,10.1520,N,10.1440,N,10.1370,N
03-01-2010 00:00:00,0.00,0.0220,N,0.0210,N,0.0190,N,1.7730,N,0.1480,N,0.1410,N,0.1350,N,10.1450,N,10.1380,N,10.1320,N
04-01-2010 00:00:00,0.00,0.0210,N,0.0190,N,0.0180,N,1.6750,N,0.1420,N,0.1360,N,0.1300,N,10.1390,N,10.1330,N,10.1270,N
05-01-2010 00:00:00,0.00,0.0190,N,0.0180,N,0.0180,N,1.5790,N,0.1350,N,0.1310,N,0.1280,N,10.1320,N,10.1280,N,10.1250,N
06-01-2010 00:00:00,0.00,0.0200,N,0.0190,N,0.0180,N,1.6460,N,0.1380,N,0.1350,N,0.1320,N,10.1350,N,10.1320,N,10.1290,N
07-01-2010 00:00:00,0.00,0.0200,N,0.0200,N,0.0190,N,1.6960,N,0.1410,N,0.1370,N,0.1350,N,10.1380,N,10.1340,N,10.1320,N
08-01-2010 00:00:00,0.00,0.0200,N,0.0200,N,0.0190,N,1.6860,N,0.1410,N,0.1370,N,0.1330,N,10.1380,N,10.1340,N,10.1300,N
09-01-2010 00:00:00,0.00,0.0200,N,0.0190,N,0.0180,N,1.6420,N,0.1390,N,0.1350,N,0.1310,N,10.1360,N,10.1320,N,10.1280,N
10-01-2010 00:00:00,0.00,0.0200,N,0.0190,N,0.0180,N,1.6450,N,0.1380,N,0.1350,N,0.1320,N,10.1350,N,10.1320,N,10.1290,N
11-01-2010 00:00:00,0.00,0.0200,N,0.0190,N,0.0180,N,1.6210,N,0.1370,N,0.1340,N,0.1300,N,10.1340,N,10.1310,N,10.1270,N
12-01-2010 00:00:00,0.00,0.0190,N,0.0180,N,0.0170,N,1.5670,N,0.1340,N,0.1310,N,0.1270,N,10.1310,N,10.1280,N,10.1240,N
13-01-2010 00:00:00,0.00,0.0190,N,0.0180,N,0.0170,N,1.5390,N,0.1330,N,0.1290,N,0.1260,N,10.1300,N,10.1260,N,10.1230,N
14-01-2010 00:00:00,0.00,0.0180,N,0.0170,N,0.0170,N,1.4980,N,0.1300,N,0.1270,N,0.1240,N,10.1270,N,10.1240,N,10.1210,N
15-01-2010 00:00:00,0.00,0.0180,N,0.0170,N,0.0160,N,1.4920,N,0.1310,N,0.1270,N,0.1230,N,10.1280,N,10.1240,N,10.1200,N
16-01-2010 00:00:00,0.00,0.0190,N,0.0170,N,0.0150,N,1.4620,N,0.1350,N,0.1250,N,0.1170,N,10.1320,N,10.1220,N,10.1140,N
17-01-2010 00:00:00,0.00,0.0190,N,0.0180,N,0.0170,N,1.5470,N,0.1340,N,0.1300,N,0.1250,N,10.1310,N,10.1270,N,10.1220,N
18-01-2010 00:00:00,0.00,0.0180,N,0.0170,N,0.0160,N,1.4630,N,0.1300,N,0.1250,N,0.1200,N,10.1270,N,10.1220,N,10.1170,N
19-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0150,N,1.3980,N,0.1260,N,0.1210,N,0.1140,N,10.1230,N,10.1180,N,10.1110,N
20-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0150,N,1.4010,N,0.1260,N,0.1220,N,0.1180,N,10.1230,N,10.1190,N,10.1150,N
21-01-2010 00:00:00,0.00,0.0160,N,0.0160,N,0.0150,N,1.3840,N,0.1230,N,0.1210,N,0.1180,N,10.1200,N,10.1180,N,10.1150,N
22-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0160,N,1.4150,N,0.1250,N,0.1220,N,0.1190,N,10.1220,N,10.1190,N,10.1160,N
23-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0160,N,1.4210,N,0.1270,N,0.1230,N,0.1190,N,10.1240,N,10.1200,N,10.1160,N
24-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0160,N,1.4170,N,0.1270,N,0.1230,N,0.1190,N,10.1240,N,10.1200,N,10.1160,N
25-01-2010 00:00:00,0.00,0.0170,N,0.0170,N,0.0160,N,1.4530,N,0.1270,N,0.1250,N,0.1220,N,10.1240,N,10.1220,N,10.1190,N
26-01-2010 00:00:00,0.00,0.0180,N,0.0170,N,0.0160,N,1.4600,N,0.1280,N,0.1250,N,0.1220,N,10.1250,N,10.1220,N,10.1190,N
27-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0150,N,1.4120,N,0.1260,N,0.1220,N,0.1180,N,10.1230,N,10.1190,N,10.1150,N
28-01-2010 00:00:00,0.00,0.0170,N,0.0160,N,0.0150,N,1.3750,N,0.1240,N,0.1200,N,0.1160,N,10.1210,N,10.1170,N,10.1130,N
29-01-2010 00:00:00,0.00,0.0160,N,0.0150,N,0.0140,N,1.2960,N,0.1190,N,0.1160,N,0.1110,N,10.1160,N,10.1130,N,10.1080,N
30-01-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2570,N,0.1180,N,0.1140,N,0.1100,N,10.1150,N,10.1110,N,10.1070,N
31-01-2010 00:00:00,0.00,0.0150,N,0.0140,N,0.0140,N,1.2520,N,0.1160,N,0.1130,N,0.1110,N,10.1130,N,10.1100,N,10.1080,N
01-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2860,N,0.1180,N,0.1150,N,0.1120,N,10.1150,N,10.1120,N,10.1090,N
02-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2970,N,0.1180,N,0.1160,N,0.1130,N,10.1150,N,10.1130,N,10.1100,N
03-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2860,N,0.1170,N,0.1150,N,0.1120,N,10.1140,N,10.1120,N,10.1090,N
04-02-2010 00:00:00,0.00,0.0160,N,0.0150,N,0.0140,N,1.2920,N,0.1190,N,0.1150,N,0.1120,N,10.1160,N,10.1120,N,10.1090,N
05-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2750,N,0.1180,N,0.1140,N,0.1110,N,10.1150,N,10.1110,N,10.1080,N
06-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2880,N,0.1170,N,0.1150,N,0.1130,N,10.1140,N,10.1120,N,10.1100,N
07-02-2010 00:00:00,0.00,0.0160,N,0.0160,N,0.0150,N,1.3480,N,0.1220,N,0.1190,N,0.1160,N,10.1190,N,10.1160,N,10.1130,N
08-02-2010 00:00:00,0.00,0.0160,N,0.0150,N,0.0140,N,1.2970,N,0.1200,N,0.1160,N,0.1110,N,10.1170,N,10.1130,N,10.1080,N
09-02-2010 00:00:00,0.00,0.0150,N,0.0140,N,0.0130,N,1.2080,N,0.1140,N,0.1110,N,0.1060,N,10.1110,N,10.1080,N,10.1030,N
10-02-2010 00:00:00,0.00,0.0150,N,0.0150,N,0.0140,N,1.2740,N,0.1180,N,0.1140,N,0.1100,N,10.1150,N,10.1110,N,10.1070,N
11-02-2010 00:00:00,0.00,0.0160,N,0.0160,N,0.0150,N,1.3660,N,0.1220,N,0.1200,N,0.1180,N,10.1190,N,10.1170,N,10.1150,N
12-02-2010 00:00:00,0.00,0.0160,N,0.0150,N,0.0140,N,1.3340,N,0.1220,N,0.1180,N,0.1130,N,10.1190,N,10.1150,N,10.1100,N
13-02-2010 00:00:00,0.00,0.0150,N,0.0140,N,0.0130,N,1.2310,N,0.1160,N,0.1120,N,0.1080,N,10.1130,N,10.1090,N,10.1050,N
14-02-2010 00:00:00,0.00,0.0150,N,0.0140,N,0.0130,N,1.1840,N,0.1140,N,0.1100,N,0.1050,N,10.1110,N,10.1070,N,10.1020,N
15-02-2010 00:00:00,0.00,0.0140,N,0.0130,N,0.0120,N,1.1450,N,0.1110,N,0.1080,N,0.1040,N,10.1080,N,10.1050,N,10.1010,N
16-02-2010 00:00:00,0.00,0.0140,N,0.0130,N,0.0130,N,1.1580,N,0.1100,N,0.1080,N,0.1050,N,10.1070,N,10.1050,N,10.1020,N
17-02-2010 00:00:00,0.00,0.0140,N,0.0130,N,0.0120,N,1.1470,N,0.1110,N,0.1080,N,0.1010,N,10.1080,N,10.1050,N,10.0980,N
18-02-2010 00:00:00,0.00,0.0140,N,0.0140,N,0.0130,N,1.1770,N,0.1130,N,0.1090,N,0.1060,N,10.1100,N,10.1060,N,10.1030,N
19-02-2010 00:00:00,0.00,0.0140,N,0.0140,N,0.0130,N,1.1890,N,0.1120,N,0.1100,N,0.1070,N,10.1090,N,10.1070,N,10.1040,N
20-02-2010 00:00:00,0.00,0.0140,N,0.0140,N,0.0130,N,1.1960,N,0.1130,N,0.1100,N,0.1070,N,10.1100,N,10.1070,N,10.1040,N
21-02-2010 00:00:00,0.00,0.0140,N,0.0140,N,0.0130,N,1.1740,N,0.1130,N,0.1090,N,0.1060,N,10.1100,N,10.1060,N,10.1030,N
22-02-2010 00:00:00,0.00,0.0140,N,0.0130,N,0.0120,N,1.1230,N,0.1110,N,0.1060,N,0.1020,N,10.1080,N,10.1030,N,10.0990,N
23-02-2010 00:00:00,0.00,0.0120,N,0.0120,N,0.0110,N,1.0410,N,0.1040,N,0.1020,N,0.0980,N,10.1010,N,10.0990,N,10.0950,N
24-02-2010 00:00:00,0.00,0.0120,N,0.0120,N,0.0110,N,1.0220,N,0.1040,N,0.1010,N,0.0960,N,10.1010,N,10.0980,N,10.0930,N
25-02-2010 00:00:00,0.00,0.0120,N,0.0110,N,0.0100,N,0.9810,N,0.1030,N,0.0980,N,0.0930,N,10.1000,N,10.0950,N,10.0900,N
26-02-2010 00:00:00,0.00,0.0120,N,0.0110,N,0.0100,N,0.9400,N,0.1000,N,0.0960,N,0.0910,N,10.0970,N,10.0930,N,10.0880,N
27-02-2010 00:00:00,0.00,0.0110,N,0.0100,N,0.0090,N,0.8580,N,0.0950,N,0.0910,N,0.0850,N,10.0920,N,10.0880,N,10.0820,N
28-02-2010 00:00:00,0.00,0.0100,N,0.0090,N,0.0080,N,0.8110,N,0.0930,N,0.0880,N,0.0810,N,10.0900,N,10.0850,N,10.0780,N
