Date,Depth,Data,QC
09-12-1993 08:00:00, , 3.00000,N
09-12-1993 09:00:00, , 3.00000,N
09-12-1993 10:00:00, , 3.00000,N
09-12-1993 11:00:00, , 4.00000,N
09-12-1993 12:00:00, , 4.00000,N
09-12-1993 13:00:00, , 4.00000,N
09-12-1993 14:00:00, , 4.00000,N
09-12-1993 15:00:00, , 4.00000,N
09-12-1993 16:00:00, , 6.00000,N
10-12-1993 08:00:00, , 3.00000,N
10-12-1993 09:00:00, , 3.00000,N
10-12-1993 11:00:00, , 3.00000,N
13-12-1993 08:00:00, , 6.00000,N
13-12-1993 09:00:00, , 6.00000,N
13-12-1993 10:00:00, , 6.00000,N
13-12-1993 11:00:00, , 6.00000,N
13-12-1993 12:00:00, , 6.00000,N
13-12-1993 13:00:00, , 6.00000,N
13-12-1993 14:00:00, , 6.00000,N
13-12-1993 15:00:00, , 6.00000,N
13-12-1993 16:00:00, , 6.00000,N
14-12-1993 08:00:00, , 3.00000,N
14-12-1993 09:00:00, , 3.00000,N
14-12-1993 11:00:00, , 3.00000,N
14-12-1993 12:00:00, , 3.00000,N
14-12-1993 13:00:00, , 3.00000,N
14-12-1993 14:00:00, , 3.00000,N
14-12-1993 15:00:00, , 3.00000,N
15-12-1993 08:00:00, , 8.00000,N
15-12-1993 09:00:00, , 8.00000,N
15-12-1993 10:00:00, , 8.00000,N
15-12-1993 11:00:00, , 8.00000,N
15-12-1993 12:00:00, , 8.00000,N
15-12-1993 13:00:00, , 8.00000,N
15-12-1993 14:00:00, , 8.00000,N
15-12-1993 15:00:00, , 8.00000,N
16-12-1993 08:00:00, , 7.00000,N
16-12-1993 09:00:00, , 7.00000,N
16-12-1993 10:00:00, , 7.00000,N
16-12-1993 12:00:00, , 7.00000,N
16-12-1993 13:00:00, , 7.00000,N
16-12-1993 14:00:00, , 7.00000,N
16-12-1993 15:00:00, , 7.00000,N
17-12-1993 08:00:00, , 4.00000,N
17-12-1993 09:00:00, , 4.00000,N
17-12-1993 10:00:00, , 4.00000,N
17-12-1993 12:00:00, , 4.00000,N
17-12-1993 13:00:00, , 4.00000,N
17-12-1993 14:00:00, , 4.00000,N
23-05-1994 05:15:00, , 6.00000,N
23-05-1994 12:20:00, , 5.00000,N
23-05-1994 15:00:00, , 6.00000,N
23-05-1994 15:35:00, , 6.00000,N
23-05-1994 16:30:00, , 8.00000,N
30-05-1994 07:00:00, , 5.00000,N
30-05-1994 08:00:00, , 5.00000,N
04-10-1994 21:00:00, , 7.00000,N
04-10-1994 21:30:00, , 7.00000,N
05-10-1994 05:15:00, , 5.00000,N
24-10-1994 06:00:00, , 6.00000,N
18-11-1994 05:15:00, , 8.00000,N
18-11-1994 06:00:00, , 8.00000,N
18-11-1994 07:00:00, , 8.00000,N
25-11-1994 06:00:00, , 7.00000,N
25-11-1994 08:00:00, , 6.00000,N
23-03-1995 15:00:00, , 5.00000,N
28-03-1995 15:00:00, , 7.00000,N
27-04-1995 15:00:00, , 7.00000,N
27-04-1995 16:00:00, , 8.00000,N
27-04-1995 18:00:00, , 8.00000,N
27-04-1995 19:00:00, , 7.00000,N
09-05-1995 21:30:00, , 8.00000,N
10-05-1995 09:00:00, , 6.00000,N
10-05-1995 10:00:00, , 7.00000,N
10-05-1995 11:00:00, , 7.00000,N
10-05-1995 19:00:00, , 5.00000,N
11-05-1995 10:00:00, , 5.00000,N
11-05-1995 10:10:00, , 5.00000,N
11-05-1995 10:30:00, , 5.00000,N
11-05-1995 11:00:00, , 5.00000,N
11-05-1995 12:00:00, , 5.00000,N
11-05-1995 12:35:00, , 5.00000,N
11-05-1995 13:00:00, , 5.00000,N
11-05-1995 14:00:00, , 5.00000,N
17-05-1995 16:00:00, , 8.00000,N
17-05-1995 17:00:00, , 7.00000,N
23-05-1995 05:15:00, , 5.00000,N
23-05-1995 07:00:00, , 6.00000,N
23-05-1995 08:00:00, , 5.00000,N
23-05-1995 13:00:00, , 7.00000,N
23-05-1995 14:00:00, , 6.00000,N
24-05-1995 15:00:00, , 7.00000,N
01-06-1995 16:00:00, , 6.00000,N
01-06-1995 17:00:00, , 6.00000,N
01-06-1995 18:00:00, , 6.00000,N
02-06-1995 11:30:00, , 5.00000,N
06-06-1995 08:00:00, , 5.00000,N
06-06-1995 09:00:00, , 5.00000,N
07-06-1995 15:45:00, , 7.00000,N
20-06-1995 07:00:00, , 6.00000,N
20-06-1995 08:00:00, , 6.00000,N
20-06-1995 09:00:00, , 7.00000,N
20-06-1995 10:00:00, , 7.00000,N
20-06-1995 13:00:00, , 7.00000,N
20-06-1995 14:00:00, , 7.00000,N
22-06-1995 08:00:00, , 5.00000,N
22-06-1995 09:00:00, , 5.00000,N
22-06-1995 10:40:00, , 5.00000,N
05-07-1995 19:50:00, , 6.00000,N
06-07-1995 07:00:00, , 5.00000,N
06-07-1995 08:00:00, , 5.00000,N
06-07-1995 09:00:00, , 5.00000,N
10-07-1995 12:00:00, , 5.00000,N
11-07-1995 05:15:00, , 8.00000,N
11-07-1995 06:00:00, , 8.00000,N
11-07-1995 07:00:00, , 8.00000,N
14-07-1995 11:00:00, , 7.00000,N
14-07-1995 11:45:00, , 8.00000,N
24-07-1995 11:00:00, , 5.00000,N
24-07-1995 13:10:00, , 1.00000,N
24-07-1995 15:00:00, , 8.00000,N
24-07-1995 17:00:00, , 7.00000,N
26-07-1995 17:00:00, , 5.00000,N
08-08-1995 17:00:00, , 8.00000,N
08-08-1995 18:00:00, , 8.00000,N
08-08-1995 19:00:00, , 8.00000,N
21-08-1995 15:00:00, , 5.00000,N
21-08-1995 17:00:00, , 5.00000,N
24-08-1995 10:00:00, , 5.00000,N
06-09-1995 06:00:00, , 5.00000,N
06-09-1995 10:00:00, , 6.00000,N
06-09-1995 14:00:00, , 5.00000,N
12-09-1995 15:20:00, , 8.00000,N
28-09-1995 07:00:00, , 6.00000,N
28-09-1995 08:30:00, , 6.00000,N
28-09-1995 09:00:00, , 6.00000,N
28-09-1995 10:00:00, , 6.00000,N
28-09-1995 11:00:00, , 6.00000,N
09-10-1995 06:00:00, , 5.00000,N
09-10-1995 10:00:00, , 6.00000,N
09-10-1995 10:30:00, , 6.00000,N
09-10-1995 11:00:00, , 7.00000,N
07-11-1995 15:00:00, , 7.00000,N
07-11-1995 19:20:00, , 7.00000,N
07-11-1995 20:25:00, , 7.00000,N
07-11-1995 21:00:00, , 7.00000,N
07-11-1995 21:20:00, , 7.00000,N
07-11-1995 22:00:00, , 7.00000,N
07-11-1995 23:00:00, , 7.00000,N
08-11-1995 09:00:00, , 6.00000,N
08-11-1995 16:00:00, , 6.00000,N
27-11-1995 08:30:00, , 6.00000,N
27-11-1995 09:00:00, , 6.00000,N
27-11-1995 10:00:00, , 6.00000,N
14-12-1995 06:00:00, , 7.00000,N
29-01-1996 14:00:00, , 5.00000,N
29-01-1996 17:00:00, , 5.00000,N
29-01-1996 19:00:00, , 5.00000,N
07-02-1996 12:00:00, , 6.00000,N
07-02-1996 13:00:00, , 5.00000,N
08-02-1996 09:00:00, , 6.00000,N
08-02-1996 09:24:00, , 6.00000,N
08-03-1996 15:00:00, , 5.00000,N
14-03-1996 10:00:00, , 7.00000,N
14-03-1996 15:00:00, , 8.00000,N
27-03-1996 09:00:00, , 6.00000,N
27-03-1996 10:00:00, , 6.00000,N
12-04-1996 12:00:00, , 5.00000,N
08-05-1996 06:00:00, , 8.00000,N
08-05-1996 06:15:00, , 8.00000,N
08-05-1996 07:00:00, , 7.00000,N
10-05-1996 12:00:00, , 5.00000,N
16-05-1996 16:00:00, , 4.00000,N
30-05-1996 20:00:00, , 6.00000,N
12-06-1996 15:00:00, , 5.00000,N
17-06-1996 15:48:00, , 4.00000,N
17-06-1996 16:00:00, , 4.00000,N
17-06-1996 16:45:00, , 4.00000,N
20-06-1996 07:00:00, , 5.00000,N
20-06-1996 08:00:00, , 5.00000,N
20-06-1996 09:00:00, , 5.00000,N
20-06-1996 09:10:00, , 5.00000,N
20-06-1996 10:00:00, , 5.00000,N
20-06-1996 10:15:00, , 5.00000,N
20-06-1996 10:35:00, , 6.00000,N
20-06-1996 11:00:00, , 6.00000,N
21-06-1996 10:00:00, , 6.00000,N
21-06-1996 13:00:00, , 5.00000,N
26-06-1996 16:00:00, , 5.00000,N
26-06-1996 17:00:00, , 5.00000,N
02-07-1996 08:00:00, , 5.00000,N
02-07-1996 08:30:00, , 5.00000,N
02-07-1996 09:00:00, , 5.00000,N
05-07-1996 13:00:00, , 7.00000,N
05-07-1996 15:00:00, , 7.00000,N
19-07-1996 14:00:00, , 7.00000,N
19-07-1996 15:00:00, , 7.00000,N
30-07-1996 08:00:00, , 7.00000,N
31-07-1996 06:00:00, , 5.00000,N
31-07-1996 06:09:00, , 6.00000,N
02-08-1996 10:00:00, , 5.00000,N
02-08-1996 12:00:00, , 5.00000,N
05-08-1996 09:00:00, , 7.00000,N
05-08-1996 11:00:00, , 7.00000,N
05-08-1996 12:00:00, , 7.00000,N
12-08-1996 11:15:00, , 6.00000,N
12-08-1996 12:00:00, , 5.00000,N
13-08-1996 09:00:00, , 5.00000,N
13-08-1996 11:00:00, , 5.00000,N
20-08-1996 08:00:00, , 8.00000,N
20-08-1996 10:00:00, , 8.00000,N
20-08-1996 14:00:00, , 8.00000,N
20-08-1996 15:00:00, , 8.00000,N
20-08-1996 16:00:00, , 8.00000,N
20-08-1996 17:00:00, , 8.00000,N
20-08-1996 19:00:00, , 8.00000,N
22-08-1996 15:00:00, , 5.00000,N
22-08-1996 16:00:00, , 5.00000,N
22-08-1996 17:00:00, , 6.00000,N
