Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\9254_Cloud_amount_of_third_group_in_eighths_DATA.csv
Location,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\
Station Status,Inactive
Lat,-32.17580000
Long,115.68080000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9254
Site Description,ARMAMENT JETTY                          
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min), NaN
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud amount of third group in eighths (oktas),Decimal
QC,String
