Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9255_Max_Wind_Speed_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-32.22720000
Long,115.69940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9255
Site Description,COLPOYS POINT                           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),28.8102
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Wind Speed (m/s),Decimal
QC,String
