Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest\6160118_O2_Saturation_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.878074630
Long,115.992277595
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160118
Site Description,6160118
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),1508.2212
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
O2 Saturation (%),Decimal
QC,String
