Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\dwer\swanest\6160119_Conductivity_DATA.csv
Location,ingestion/dwer/swanest
Station Status,Active
Lat,-31.868416994
Long,115.998983271
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160119
Site Description,6160119
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),1446.2728
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Conductivity (\muS/cm),Decimal
QC,String
